,f_fixations,%_fixations,μ_t_fixations,σ_t_fixations,μ_vmax_fixations,σ_vmax_fixations,μ_v_fixations,f_pursuits,%_pursuits,μ_t_pursuits,σ_t_pursuits,μ_vmax_pursuits,σ_vmax_pursuits,μ_v_pursuits,f_saccades,%_saccades,μ_t_saccades,σ_t_saccades,μ_vmax_saccades,σ_vmax_saccades,μ_v_saccades,f_pso/glissades,%_pso/glissades,μ_t_pso/glissades,σ_t_pso/glissades,μ_vmax_pso/glissades,σ_vmax_pso/glissades,μ_v_pso/glissades,μ_openness,μ_diameter,bedford,bedford_enc,Subject,Mode
wrk\Subject_20_baseline_rmexp.csv,2.1710029844180765,0.3111413043478261,0.21043318777292577,0.4642938697648202,46.693380786026204,66.25496584509989,7.019159234849304,1.4258465015566757,0.20434782608695654,0.25082978723404253,0.13012800680589048,84.58275664893615,92.87852580450253,18.438765713801,2.385259174146673,0.3418478260869565,0.03848966613672496,0.021937734651448014,229.10018839427664,124.62767663245248,134.23986088393227,0.995438049624009,0.1426630434782609,0.018622857142857146,0.009617971839890424,51.796638095238094,47.254050632345404,32.20830356960213,0.8373341141159512,3.095560750903349,0,0,20,baseline
wrk\Subject_20_DVEH_0_rmexp.csv,1.882799873369212,0.41697416974169743,0.2893185840707964,0.38392044404244396,16.453840707964602,49.111153609357245,3.270962254916955,1.2663078794341602,0.28044280442804426,0.32284210526315793,0.21865179315111835,30.67530263157895,112.31376671101505,6.19022619823932,1.1663362047419896,0.25830258302583026,0.03105714285714285,0.02373778525851963,93.60695714285714,100.1763706099591,58.21896504139836,0.1999433493843411,0.04428044280442804,0.021583333333333333,0.010475831974385404,21.62816666666667,19.59262880878645,12.894274131274132,0.9719417369583334,4.518121083958333,5,1,20,DVEH
wrk\Subject_20_DVEH_1_rmexp.csv,2.2830669755195228,0.3903133903133903,0.16981021897810222,0.2340490164161206,69.05010218978103,146.1358770747222,12.242922971114165,1.416501408169047,0.24216524216524216,0.35422352941176466,0.2384797131078739,83.64338823529411,175.7117182430019,10.230224085821515,1.8664489142933325,0.31908831908831914,0.04035714285714286,0.043301859318142025,123.27933035714285,135.6774868345485,92.06451393805308,0.2833002816338094,0.04843304843304844,0.01964705882352941,0.00929858418363082,67.16117647058823,126.85494650711023,42.51041616766468,0.94574910140035,4.438647854130199,5,1,20,DVEH
wrk\Subject_20_DVEH_2_rmexp.csv,1.8997783591914275,0.3106267029972752,0.1136578947368421,0.13037313716334928,113.1911052631579,163.7144658502664,27.363998765146253,1.6831369673538086,0.27520435967302453,0.3744752475247525,0.3630709390918771,106.74347524752476,150.77787052328506,15.743557770609694,2.183078640825237,0.3569482288828338,0.03227480916030534,0.025111371298179447,165.21014503816795,142.25075561441525,112.62116272469254,0.34995917142999977,0.057220708446866476,0.021380952380952382,0.011581907855321637,56.19314285714286,33.163756636088245,44.64236971046769,0.9163955463865968,4.310173345294658,5,1,20,DVEH
wrk\Subject_20_DVEH_3_rmexp.csv,2.06625341598347,0.3522727272727273,0.11076612903225806,0.1198914905150438,105.94157258064514,188.51713235325946,24.11612034947215,1.5163633939878691,0.2585227272727273,0.4181758241758242,0.40930363251668517,83.45456043956045,131.46538232079135,12.227256819256844,1.9996000799840032,0.3409090909090909,0.03413333333333334,0.03241114348834706,133.85319166666667,105.49555267705964,87.46186523437497,0.2832766779977338,0.048295454545454544,0.02335294117647059,0.009266899833598699,78.87682352941177,44.88098004360801,56.85934256926952,0.916982240206701,4.239919692990498,5,1,20,DVEH
wrk\Subject_20_DVEH_4_rmexp.csv,2.1995600879824035,0.3482849604221636,0.10196969696969697,0.08677417045114248,93.44461363636364,160.7754962070745,22.612156983655275,1.6496700659868027,0.2612137203166227,0.3756969696969697,0.28759832590181106,89.9339797979798,137.97456178959183,11.555666935527237,2.1329067519829366,0.33773087071240104,0.03957031250000001,0.0355878498388473,162.5863125,146.09397408724794,116.02021954590322,0.3332666799973339,0.052770448548812667,0.017900000000000006,0.010333924714260308,57.689949999999996,49.291835412647195,37.30968715083798,0.9166752047007836,4.281476291673613,5,1,20,DVEH
wrk\Subject_20_DVE_0_rmexp.csv,1.8494759818051554,0.3135593220338983,0.09142342342342342,0.11335422829769014,171.82031531531524,200.1199527546471,47.71428754434371,1.5495609577286436,0.2627118644067797,0.43946236559139773,0.43801761537562645,189.40359139784954,209.2608010473876,23.174181257646197,2.066081276971525,0.3502824858757062,0.02707258064516129,0.01842122434159837,230.01282258064515,131.97718789575623,152.1539714030384,0.43321059033273907,0.07344632768361582,0.021961538461538463,0.00802151323356217,152.30380769230769,110.10296929344025,89.62133099824868,0.8981403678223185,4.27638185652971,6,2,20,DVE
wrk\Subject_20_DVE_1_rmexp.csv,1.1831952938823802,0.221875,0.0849154929577465,0.08395517692077867,167.5394929577465,180.05835043125492,43.85570194062032,1.53315446531238,0.2875,0.4642173913043478,0.28511053638617445,230.9875652173913,196.56006105792085,32.02660564765384,1.8997783591914277,0.35624999999999996,0.03192105263157895,0.029855836285314057,311.807850877193,150.8836758584754,194.81761253091506,0.7165830653090471,0.134375,0.024534883720930226,0.009289526078004252,192.53583720930234,147.3660202574134,111.02540853080573,0.8866098238726348,4.097077872843211,6,2,20,DVE
wrk\Subject_20_DVE_2_rmexp.csv,0.9504435403188154,0.18210862619808307,0.07868421052631576,0.04530332774839488,181.37914035087718,204.11290381382955,57.346200891861784,1.5840725671980258,0.3035143769968051,0.468221052631579,0.33056876596325746,204.43077894736845,147.98274112727,33.711472493873785,2.16767824984993,0.41533546325878595,0.038638461538461545,0.025721587415468695,406.1286923076923,167.3929978264345,244.7768646227354,0.5169078903488294,0.09904153354632587,0.023870967741935492,0.010754569727851392,235.16509677419356,194.24005841697368,135.16751216216213,0.8797064316969495,4.265110475495916,6,2,20,DVE
wrk\Subject_20_DVE_3_rmexp.csv,1.79949014445907,0.3,0.09582407407407409,0.0973102930020389,167.6915648148148,213.54637200089772,43.85325490385543,1.6162087408567574,0.26944444444444443,0.4087422680412371,0.32382107438122787,177.2497216494845,179.47049807409508,22.659778273809525,2.1327290600996385,0.35555555555555557,0.03216406250000001,0.028292771090794443,230.4335078125,169.4256553895301,152.1172931746417,0.4498725361147675,0.07499999999999998,0.024962962962962968,0.01006821725174114,120.6568148148148,74.35063775164822,82.4733412462908,0.8938267953579465,4.268509868780732,6,2,20,DVE
wrk\Subject_20_DVE_4_rmexp.csv,1.8161520902410984,0.30532212885154064,0.10002752293577982,0.11722787803793515,142.20156880733947,186.67071196517335,35.861035769971565,1.732842361330956,0.2913165266106443,0.385875,0.2904064024875644,159.8837692307692,173.95946551469478,21.465926166803715,2.11606711431761,0.3557422969187675,0.032267716535433075,0.025727355709315784,216.541842519685,170.37571763510192,152.6677213274768,0.2832530782944832,0.047619047619047616,0.02523529411764706,0.010120040756513526,134.2581176470588,113.11724722859198,73.9783543123543,0.9159646235102924,4.145714024418702,6,2,20,DVE
