onset	duration	label	start_x	start_y	end_x	end_y	amp	peak_vel	med_vel	avg_vel
0.015	0.195	FIXA	2014.56149	1173.35740	2010.90485	1179.03801	0.196	58.456	10.346	13.648
0.210	0.023	SACC	2010.88442	1178.17461	1941.38347	1189.08180	2.345	232.559	154.502	125.422
0.233	0.005	LPSO	1937.15734	1189.61656	1943.04709	1188.91835	0.198	79.051	67.914	67.914
0.238	0.170	FIXA	1942.73540	1188.23107	1956.95449	1204.95464	0.732	80.021	9.652	17.534
0.408	0.020	SACC	1957.03103	1205.65248	2025.05862	1169.97188	2.561	255.181	168.838	152.400
0.428	0.005	LPSO	2028.42000	1168.67160	2021.87155	1174.01001	0.282	112.609	80.323	80.323
0.433	0.188	FIXA	2020.89759	1173.78583	2011.65133	1167.71583	0.369	60.406	7.370	13.495
0.620	0.340	PURS	2011.72922	1169.31320	2014.85656	1126.58712	1.428	145.250	15.213	23.008
0.960	0.023	SACC	2012.71669	1127.88232	2035.48366	1254.19640	4.278	368.950	229.881	219.195
0.983	0.078	FIXA	2035.74200	1254.61353	2028.76145	1265.60480	0.434	15.997	7.378	7.806
1.060	0.385	PURS	2028.10470	1265.85821	2028.69555	1286.42229	0.686	27.510	3.464	4.953
1.446	0.043	SACC	2025.15311	1286.20964	2238.08766	1390.71952	7.907	617.896	225.864	275.249
1.488	0.008	HPSO	2241.42981	1390.89327	2236.13861	1410.03624	0.662	216.691	51.187	104.161
1.496	0.135	FIXA	2236.27485	1410.51295	2263.01397	1445.94584	1.480	79.443	18.612	25.295
1.631	0.023	SACC	2266.95765	1454.17265	2256.74604	1410.19996	1.505	274.222	142.616	144.366
1.653	0.010	LPSO	2256.85308	1410.08021	2270.30060	1384.10566	0.975	184.579	102.702	98.031
1.663	0.040	FIXA	2271.59605	1382.27609	2285.84697	1369.73594	0.633	232.070	50.773	69.602
1.703	0.020	SACC	2289.41756	1375.42526	2285.36909	1500.80751	4.182	364.495	232.778	221.312
1.723	0.063	FIXA	2286.37976	1504.57797	2304.06985	1465.17563	1.440	131.828	27.485	30.340
1.786	0.013	SACC	2303.59095	1455.92666	2302.39461	1410.88334	1.502	174.997	157.852	145.978
1.798	0.058	FIXA	2304.31621	1408.65010	2300.16244	1463.23214	1.825	166.525	39.795	57.902
1.856	0.013	SACC	2303.53383	1448.10466	2320.47746	1372.57528	2.580	321.584	262.403	247.667
1.868	0.158	FIXA	2320.44010	1371.35635	2285.91441	1450.74964	2.886	227.229	37.729	54.553
2.026	0.013	SACC	2288.67864	1441.16451	2311.83255	1411.64399	1.251	164.629	132.962	127.264
2.038	0.113	FIXA	2312.03967	1413.64765	2320.95103	1393.05936	0.748	500.706	76.680	116.283
2.151	0.078	SACC	2317.78065	1408.30988	1963.57478	1303.22123	12.316	633.027	288.886	319.364
2.228	0.018	LPSO	1962.77966	1297.77191	1976.96191	1247.24642	1.749	230.557	115.686	131.949
2.246	0.085	FIXA	1976.61915	1246.87340	1976.30233	1191.57371	1.843	134.876	32.965	44.393
2.331	0.023	SACC	1986.28717	1189.48120	2022.65333	1129.00164	2.352	200.602	135.974	143.182
2.353	0.095	FIXA	2022.81717	1127.45114	2026.18842	1129.42106	0.130	72.150	23.314	28.379
2.448	0.273	PURS	2026.31670	1131.85857	2023.79638	1144.98327	0.445	98.754	9.524	14.353
2.721	0.018	SACC	2024.91945	1138.74570	2009.24454	1228.51520	3.038	267.112	191.884	185.585
2.738	0.073	FIXA	2008.47376	1233.98797	2000.36469	1219.68368	0.548	77.318	10.999	17.928
2.811	0.018	SACC	1997.06775	1225.47263	1989.54391	1136.24846	2.985	289.595	202.559	187.638
2.829	0.035	HPSO	1990.19797	1132.41198	1987.47133	1167.39711	1.170	205.491	45.913	74.563
2.864	0.328	PURS	1984.87059	1184.77320	1952.99853	1164.15268	1.265	528.799	22.150	47.571
3.191	0.040	SACC	1946.39967	1158.30037	2255.48662	1371.94987	12.525	591.781	409.388	369.172
3.231	0.025	HPSO	2252.08043	1368.46399	2283.69554	1482.70163	3.951	315.541	186.265	182.364
3.256	0.085	FIXA	2283.65234	1482.99011	2295.28642	1445.09324	1.321	187.012	8.976	38.348
3.341	0.195	PURS	2295.38538	1445.40295	2292.71668	1471.33539	0.869	63.393	8.560	11.002
3.536	0.040	SACC	2288.53268	1477.26297	2139.33189	1750.64319	10.381	620.872	197.676	288.959
3.576	0.175	PURS	2134.95952	1750.40630	2097.25727	1734.71005	1.361	407.913	77.888	98.711
3.751	0.033	SACC	2096.73362	1719.35574	2031.18720	1799.37944	3.448	343.401	204.769	203.213
3.784	0.035	LPSO	2029.56712	1798.57633	2023.42784	1816.12969	0.620	448.399	102.476	122.768
3.819	0.063	FIXA	2011.18344	1838.26098	2058.05316	1940.65700	3.754	445.676	185.234	196.508
3.881	0.033	SACC	2062.43504	1930.38641	2032.76720	1843.31458	3.066	457.474	273.933	263.728
4.094	0.040	SACC	2109.03410	1316.80153	2074.28932	1471.48093	5.284	895.680	397.858	430.327
4.134	0.310	PURS	2070.29681	1474.99872	2007.13226	1180.88254	10.027	747.455	23.684	71.180
4.444	0.020	SACC	2006.46316	1175.23525	1994.41457	1085.57352	3.016	286.702	191.814	178.190
4.464	0.233	FIXA	1994.96705	1085.17625	2014.76722	1094.28686	0.727	66.873	12.839	17.601
4.697	0.013	ISAC	2014.59443	1097.05300	2014.95411	1077.52577	0.651	114.146	41.790	59.459
4.709	0.010	IHPS	2014.74021	1077.11282	2013.49919	1092.68876	0.521	107.827	50.270	53.641
4.719	0.193	FIXA	2013.36337	1094.42663	2014.73472	1108.36020	0.467	37.944	7.724	8.695
4.912	0.025	SACC	2014.24060	1106.25700	2015.27305	1153.11178	1.562	150.655	73.321	81.445
4.937	0.078	FIXA	2014.80688	1154.11855	2018.41036	1169.00379	0.511	34.868	8.324	9.341
5.014	0.200	PURS	2017.85144	1170.43276	2011.63580	1183.82220	0.492	68.444	9.757	14.240
5.214	0.305	FIXA	2011.66708	1183.53547	2006.64448	1173.74085	0.367	86.830	5.772	9.965
5.519	0.020	SACC	2007.27551	1177.17834	1997.57904	1262.05553	2.848	259.710	164.807	151.613
5.539	0.010	LPSO	1996.66544	1265.51333	1996.82741	1256.80014	0.290	94.025	33.455	41.546
5.550	0.368	PURS	1996.81745	1257.09403	1996.14966	1240.47601	0.554	109.926	15.478	21.467
5.917	0.023	SACC	1995.66001	1239.14990	2027.91810	1278.47654	1.695	191.368	106.978	98.647
5.940	0.010	LPSO	2029.00865	1281.24543	2022.93580	1277.64327	0.235	72.454	27.472	35.129
5.950	0.335	FIXA	2022.15649	1278.07637	2009.50241	1286.65485	0.510	39.167	8.935	10.552
6.285	0.603	PURS	2009.43036	1286.25332	2018.36256	1235.44933	1.719	65.114	10.028	12.990
6.887	0.073	SACC	2016.90010	1234.63233	2292.90792	1396.13311	10.660	585.443	188.869	221.567
6.960	0.020	HPSO	2291.41517	1398.41196	2258.36617	1458.98601	2.300	231.281	148.911	139.929
6.980	0.100	FIXA	2257.97897	1459.11161	2248.88327	1462.21747	0.320	10.902	4.679	4.784
7.080	0.233	PURS	2248.86342	1462.35493	2237.88635	1481.87022	0.746	20.649	5.000	6.017
7.313	0.028	ISAC	2237.58678	1480.80017	2243.85976	1496.29748	0.557	93.004	53.517	47.863
7.340	0.008	IHPS	2244.29479	1497.00523	2242.57843	1492.37106	0.165	46.404	19.487	25.655
7.348	0.218	FIXA	2242.16244	1491.07393	2227.70601	1468.64176	0.890	29.051	4.971	7.370
7.565	0.083	SACC	2228.67849	1469.70975	2043.81367	1402.55595	6.556	583.851	190.192	232.216
7.648	0.033	HPSO	2042.36456	1402.82058	2009.47610	1275.92190	4.370	434.552	163.231	192.056
7.680	0.045	FIXA	2008.74175	1274.71167	2009.15315	1274.77932	0.014	39.550	15.062	16.218
7.725	0.553	PURS	2009.09019	1274.87636	2018.31790	1274.74076	0.308	65.591	7.505	11.090
8.278	0.015	ISAC	2018.77765	1278.04289	2014.86147	1250.17430	0.938	108.004	74.232	69.937
8.293	0.013	IHPS	2014.15938	1248.82402	2017.48618	1268.07995	0.651	125.730	51.329	56.272
8.305	0.085	FIXA	2018.02588	1268.71689	2017.15919	1266.99817	0.064	40.799	12.317	14.469
8.391	0.028	SACC	2017.26383	1267.85945	2008.70505	1180.84053	2.915	263.330	117.966	127.596
8.418	0.035	HPSO	2011.51711	1180.87072	1972.56820	1178.30782	1.301	176.949	123.533	111.846
8.453	0.073	FIXA	1976.26020	1187.25635	1980.52991	1199.67069	0.438	129.023	7.850	22.567
8.526	0.415	PURS	1980.59832	1199.24332	1968.95292	1219.30045	0.773	69.071	14.945	17.601
8.941	0.015	SACC	1971.20420	1214.09992	2019.45144	1171.03032	2.156	215.373	166.022	157.307
8.956	0.035	LPSO	2022.19816	1168.37797	2016.16484	1146.03104	0.772	96.028	48.840	48.372
9.011	0.025	SACC	2018.41579	1159.01870	2040.88624	1230.38184	2.494	252.605	137.211	136.134
9.036	0.005	LPSO	2042.43435	1235.24039	2039.62538	1228.92067	0.231	92.178	80.072	80.072
9.041	0.060	FIXA	2039.24725	1231.51054	2042.35985	1226.00531	0.211	81.068	32.316	33.610
9.101	0.168	PURS	2042.52894	1227.78525	2040.65196	1244.82954	0.572	61.139	7.839	14.063
9.268	0.050	FIXA	2040.17275	1244.71087	2040.14480	1242.88897	0.061	10.719	3.253	4.114
9.318	0.288	PURS	2039.94760	1242.65445	2013.42783	1261.62462	1.087	76.014	17.336	21.651
9.606	0.030	SACC	2012.87317	1265.76979	2001.73516	1113.20328	5.099	360.044	196.629	200.761
9.636	0.025	LPSO	2001.48324	1109.67287	2008.31831	1150.81116	1.390	112.014	72.861	68.388
9.661	0.045	FIXA	2008.50366	1152.48203	2007.26004	1181.16501	0.957	194.125	74.953	81.231
9.706	0.015	SACC	2007.07189	1177.42522	2004.06857	1105.64666	2.395	233.647	181.873	167.908
9.721	0.328	PURS	2003.84990	1101.71790	2007.64435	1097.67068	0.185	126.283	17.588	31.797
10.049	0.185	FIXA	2006.96388	1093.76340	2009.92048	1081.81859	0.410	100.968	12.831	26.372
10.234	0.013	ISAC	2009.98512	1086.59401	2010.40555	1057.72584	0.962	168.151	63.655	89.700
