onset	duration	label	start_x	start_y	end_x	end_y	amp	peak_vel	med_vel	avg_vel
0.015	0.168	FIXA	2039.34065	1110.47012	2050.14859	1117.81366	0.427	9.227	2.956	3.205
0.183	0.168	PURS	2050.00498	1117.93580	2035.07060	1123.10395	0.527	7.784	4.009	3.982
0.350	0.045	SACC	2035.51363	1121.95238	2005.58368	1200.49941	2.802	222.636	41.379	73.456
0.395	0.063	FIXA	2005.33406	1200.73605	2002.23802	1204.19443	0.155	10.078	4.529	4.508
0.458	0.248	PURS	2001.75133	1203.95714	1975.49557	1186.55312	1.050	12.616	4.839	4.820
0.705	0.030	ISAC	1975.46970	1186.18472	1974.77382	1158.68062	0.917	50.713	34.228	32.591
0.735	0.273	PURS	1974.78183	1158.66156	2536.47525	1318.40159	19.466	533.607	11.266	94.404
1.200	0.068	FIXA	2838.05495	1292.92211	2907.92637	1250.61076	2.980	199.999	59.366	78.719
1.268	0.028	SACC	2907.42874	1256.98798	2812.89327	1213.29412	3.471	335.769	145.368	181.716
1.295	0.063	FIXA	2808.20643	1212.47981	2665.16734	1152.29526	5.173	155.452	82.877	86.987
1.358	0.010	SACC	2660.34021	1149.89998	2645.64618	1140.75291	0.577	96.101	73.525	75.709
1.368	0.193	PURS	2641.98539	1138.37785	2527.96756	1076.69829	4.321	94.827	21.329	25.270
1.561	0.015	SACC	2538.60587	1078.07519	2624.69219	1105.10884	3.008	314.069	240.755	224.391
1.576	0.053	FIXA	2619.48955	1103.92422	2613.02940	1095.78015	0.347	74.892	33.002	34.787
1.628	0.290	PURS	2610.45503	1094.35865	2112.24719	1086.33893	16.609	532.311	17.450	78.792
2.073	0.038	SACC	1558.02453	1096.63738	1463.06702	1150.86998	3.645	150.265	103.269	105.883
2.111	0.035	LPSO	1458.82362	1153.91161	1468.67075	1173.93983	0.744	155.299	70.637	81.204
2.146	0.678	PURS	1476.92141	1175.67664	2156.19862	1165.46452	22.645	329.415	19.649	35.964
2.964	0.073	FIXA	2580.78920	1331.25480	2611.14807	1360.03561	1.363	285.301	68.871	104.425
3.036	0.060	SACC	2603.89791	1361.87276	2445.02637	1312.43750	5.546	139.047	100.441	102.733
3.096	0.063	FIXA	2440.54353	1309.87705	2313.74865	1264.71218	4.487	108.890	77.252	75.600
3.159	0.008	SACC	2308.36583	1262.48114	2297.07849	1258.29239	0.401	81.333	79.154	79.383
3.166	0.070	FIXA	2292.64849	1256.88231	2203.34775	1217.01652	3.260	78.783	54.354	50.809
3.236	0.028	SACC	2192.12652	1216.19818	2062.22801	1205.12339	4.346	298.548	149.960	174.565
3.264	0.340	PURS	2063.26375	1203.61312	1956.04021	1175.74937	3.693	430.555	23.350	49.083
3.734	0.043	FIXA	1527.34468	1065.05389	1604.72821	1074.83858	2.334	118.289	69.064	75.804
3.776	0.010	SACC	1610.72099	1073.99856	1636.33399	1078.74997	0.868	136.456	106.906	107.731
3.786	0.998	PURS	1638.08298	1076.80778	1943.34844	1106.20674	10.223	376.121	11.032	21.624
4.919	0.058	FIXA	2519.04955	1280.80291	2602.56781	1246.58731	2.569	442.518	70.169	109.518
4.977	0.028	SACC	2598.45436	1244.39947	2547.95014	1218.67936	1.889	177.964	107.072	107.903
5.004	0.038	FIXA	2542.60662	1218.52484	2475.40387	1209.77609	2.259	89.982	68.554	65.787
5.042	0.008	SACC	2469.63940	1208.50171	2462.45728	1205.35119	0.261	78.687	54.580	61.163
5.049	0.133	PURS	2460.08045	1203.75559	2320.73511	1175.11416	4.742	69.686	37.747	37.939
5.182	0.023	SACC	2313.57511	1174.87463	2213.18579	1202.56267	3.471	301.528	199.085	172.315
5.204	0.133	FIXA	2215.11590	1203.03594	2189.60531	1196.09314	0.881	68.872	9.596	11.628
5.337	0.043	SACC	2190.32586	1187.69136	2160.05735	1565.82249	12.645	592.830	297.385	307.353
5.379	0.250	PURS	2159.90391	1565.08429	1995.47415	1498.09324	5.918	515.151	17.649	58.810
5.775	0.015	SACC	1516.37890	1129.92278	1546.53224	1136.09855	1.026	101.394	85.413	81.228
5.790	0.858	PURS	1548.91065	1136.47398	1861.10544	1112.47809	10.437	74.097	6.901	14.853
6.647	0.020	SACC	1860.90415	1113.43959	1835.37989	1113.22347	0.851	74.138	46.456	44.505
6.667	0.658	FIXA	1835.39422	1113.44961	1830.89829	1116.81608	0.187	9.515	1.937	2.505
7.325	0.435	PURS	1830.75807	1116.93512	1797.09134	1109.62480	1.148	16.900	4.416	5.389
7.760	0.183	FIXA	1796.70822	1109.85618	1798.01664	1106.94664	0.106	18.076	3.621	4.453
7.943	0.585	PURS	1798.01149	1107.21944	1750.48229	1121.69355	1.656	21.792	3.706	5.091
8.528	0.063	SACC	1748.68562	1122.14699	2079.05343	1129.36106	11.015	412.198	224.934	205.346
8.743	0.023	SACC	2337.29280	1259.88947	2285.12392	1263.52906	1.743	105.489	88.946	87.387
8.766	0.478	PURS	2281.06771	1262.14658	2150.65585	1228.30376	4.491	89.517	16.384	24.178
9.243	0.080	SACC	2154.09037	1230.01295	1558.38735	1135.77240	20.104	437.434	245.948	256.114
9.323	0.035	LPSO	1553.65801	1134.60794	1444.58323	1177.42812	3.906	211.336	133.646	135.114
9.358	0.058	FIXA	1435.86987	1186.47093	1438.55043	1168.84767	0.594	218.689	113.231	105.063
9.416	0.040	SACC	1445.25787	1168.72334	1555.09010	1164.79057	3.663	158.844	103.556	101.453
9.456	0.035	LPSO	1556.82870	1164.85670	1621.98188	1145.80257	2.263	106.332	68.897	69.201
9.491	0.043	FIXA	1625.37140	1144.69295	1693.92278	1133.10875	2.317	82.650	57.501	58.328
9.533	0.008	SACC	1700.38878	1133.90745	1710.04908	1135.06776	0.324	86.837	68.214	72.195
9.541	0.713	PURS	1712.91547	1134.96150	1976.86616	1099.01909	8.880	69.567	8.656	14.531
10.254	0.065	FIXA	1976.47513	1098.50655	1973.10902	1097.39411	0.118	8.593	2.363	2.909
10.319	0.505	PURS	1973.01879	1097.57635	1888.27834	1106.52026	2.840	19.803	5.442	6.436
10.824	0.030	SACC	1888.54658	1106.28713	1874.81972	1197.06101	3.060	302.610	87.092	123.813
10.854	0.018	LPSO	1876.17053	1197.54988	1878.45670	1201.73971	0.159	33.314	12.897	15.472
10.871	0.060	FIXA	1878.50428	1201.69170	1878.48776	1214.15611	0.415	15.025	6.331	7.131
10.931	0.218	PURS	1878.32379	1214.23274	1828.54592	1232.33816	1.766	38.494	4.331	8.741
11.149	0.008	SACC	1826.63633	1232.86078	1817.75973	1235.03136	0.305	96.576	26.388	49.496
11.327	0.115	SACC	2429.46311	1148.37260	2199.90961	1194.77175	7.742	184.691	84.795	87.841
11.442	0.030	HPSO	2197.38727	1192.76021	2145.73835	1181.60462	1.761	83.834	63.981	62.740
11.472	0.155	PURS	2142.72773	1180.74998	2004.20839	1142.16284	4.793	68.129	30.425	32.074
11.627	0.023	SACC	2002.90218	1141.23074	1916.08158	1121.54744	2.967	261.803	128.780	137.739
11.649	0.073	FIXA	1915.71737	1120.71772	1900.96200	1104.97757	0.719	45.207	7.137	10.883
11.722	0.403	PURS	1900.86519	1104.78016	1977.98282	1115.10605	2.594	98.060	6.606	8.503
12.124	0.078	SACC	1966.93074	1119.61946	1511.46996	1112.48502	15.184	416.092	182.487	202.657
12.202	0.033	LPSO	1508.32185	1113.89285	1451.43760	1214.80235	3.861	272.532	124.801	136.310
12.234	0.095	PURS	1444.28791	1216.88747	1380.45032	1187.22655	2.346	348.124	104.096	118.259
12.329	0.053	SACC	1385.28463	1183.75051	1534.91031	1175.52000	4.995	140.560	104.118	103.278
12.382	0.053	FIXA	1538.69565	1173.61873	1643.58845	1159.70108	3.527	95.057	70.789	71.066
12.434	0.008	SACC	1649.99060	1159.20507	1659.09778	1156.19932	0.320	85.587	68.506	71.376
12.442	0.268	PURS	1661.26815	1154.12901	1974.11083	1109.75120	10.532	83.679	39.978	40.446
12.710	0.063	ISAC	1975.00451	1109.57258	2009.56399	1109.87934	1.152	27.277	19.874	19.427
12.772	0.035	ILPS	2010.31902	1109.41857	2025.93953	1106.87724	0.528	23.617	14.710	16.194
12.807	0.213	PURS	2026.76861	1107.01927	2091.55349	1100.79247	2.169	20.541	10.248	10.817
13.020	0.038	ISAC	2092.06551	1100.86618	2075.84526	1113.92163	0.694	71.742	21.037	29.025
13.057	0.070	FIXA	2075.70917	1113.70922	2080.70662	1117.91058	0.218	13.452	6.973	7.264
13.127	0.125	PURS	2080.95480	1118.03472	2086.67901	1116.96826	0.194	7.870	3.104	3.093
13.252	0.218	FIXA	2086.76154	1116.89814	2078.23791	1113.13911	0.311	4.907	2.718	2.595
13.470	0.713	PURS	2077.96980	1113.01335	2026.69797	1101.05786	1.755	11.711	3.100	3.278
14.183	0.078	FIXA	2026.62601	1101.19087	2024.78393	1099.27223	0.089	2.922	1.717	1.747
14.260	0.213	PURS	2024.65846	1099.23608	2025.18685	1089.22059	0.334	7.331	2.119	2.455
14.473	0.223	FIXA	2025.24905	1089.38125	2027.96146	1083.91290	0.203	11.123	2.897	3.572
14.695	0.015	ISAC	2026.91823	1083.91591	2017.35997	1082.65156	0.321	31.116	25.024	23.814
14.710	0.110	FIXA	2017.08726	1082.43965	2020.63147	1075.80592	0.251	6.633	4.070	3.945
14.820	0.218	PURS	2020.91798	1075.93225	2021.81157	1066.64952	0.311	8.713	1.942	2.584
15.038	0.255	FIXA	2021.72970	1066.64281	2019.61971	1067.30901	0.074	7.118	1.566	2.031
15.293	0.430	PURS	2019.59226	1067.04347	2395.26079	1119.21694	12.642	394.571	4.400	37.666
15.881	0.103	SACC	2565.88653	1281.59406	2219.51495	1190.88675	11.935	301.258	112.680	128.820
15.983	0.040	FIXA	2214.80542	1188.65562	2144.76137	1155.51538	2.583	96.011	72.067	70.414
16.023	0.083	SACC	2150.26938	1159.15054	2686.69293	1349.63813	18.975	555.805	217.897	244.331
