onset	duration	label	start_x	start_y	end_x	end_y	amp	peak_vel	med_vel	avg_vel
0.015	0.040	FIXA	2002.51927	1387.11461	2000.18039	1354.38912	0.932	150.901	49.938	50.093
0.055	0.013	SACC	1998.56339	1361.92165	1999.46549	1388.20080	0.876	176.049	102.685	109.326
0.068	0.045	FIXA	2001.16745	1391.06389	2000.62454	1363.29566	0.926	156.283	55.861	71.504
0.113	0.015	SACC	2000.45245	1373.66624	2007.79747	1467.36375	3.133	303.350	262.582	231.970
0.128	0.048	FIXA	2007.41840	1468.94327	1993.05754	1400.01768	2.347	171.639	60.367	69.930
0.175	0.008	SACC	1993.34812	1394.24061	1994.76058	1382.87594	0.382	77.809	77.097	76.628
0.183	0.050	FIXA	1995.84643	1382.34492	2004.15900	1322.43366	2.016	267.604	63.436	82.977
0.233	0.015	SACC	2001.29609	1332.52529	1987.95937	1398.66434	2.249	282.551	156.103	173.477
0.248	0.058	FIXA	1989.21249	1400.98304	2003.08388	1324.29389	2.598	98.539	42.433	47.584
0.305	0.030	SACC	2003.82529	1319.79610	2002.30796	1366.08612	1.544	350.807	144.196	156.588
0.335	0.065	FIXA	1999.45242	1364.89288	1990.35567	1374.50968	0.441	152.889	38.193	54.636
0.400	0.018	SACC	1991.85906	1362.87402	1979.18226	1453.47575	3.049	292.375	227.186	196.578
0.418	0.060	FIXA	1979.64105	1453.69304	1977.95651	1444.50517	0.311	181.738	40.542	54.533
0.478	0.020	SACC	1976.50363	1433.17094	1973.33985	1453.70789	0.693	390.047	176.936	190.858
0.498	0.078	FIXA	1970.77142	1450.38388	1976.35816	1432.27011	0.632	242.559	28.254	44.284
0.575	0.008	SACC	1975.83341	1425.94310	1973.02727	1403.00742	0.770	175.176	132.802	130.866
0.583	0.058	FIXA	1972.86084	1399.85886	1985.25123	1422.69480	0.866	64.033	15.208	23.864
0.640	0.010	SACC	1984.59251	1416.55548	1977.74801	1405.32185	0.438	83.088	73.494	65.365
0.650	0.065	FIXA	1977.34184	1406.21702	1979.73620	1415.85551	0.331	156.993	17.684	36.286
0.715	0.008	SACC	1981.00758	1420.72592	1982.71120	1431.07711	0.350	76.770	67.090	69.034
0.723	0.038	FIXA	1982.16493	1430.31644	1981.43991	1412.29351	0.601	85.522	15.004	20.233
0.760	0.935	PURS	1981.75141	1411.35325	1992.30166	1306.59597	3.510	46.514	7.156	9.928
1.696	0.178	FIXA	1992.38605	1306.72459	1992.89322	1318.11587	0.380	36.978	2.722	4.695
