onset	duration	label	start_x	start_y	end_x	end_y	amp	peak_vel	med_vel	avg_vel
0.015	0.093	FIXA	2038.68536	1199.30393	2057.76873	1207.18312	0.655	16.289	7.990	7.985
0.108	0.028	SACC	2058.11359	1208.18214	2060.77346	1101.95919	3.542	321.552	82.384	141.909
0.135	0.010	HPSO	2060.77307	1101.98422	2061.01603	1106.16648	0.140	49.163	3.728	14.238
0.145	0.063	FIXA	2060.76650	1106.13588	2062.08192	1096.01696	0.340	10.923	6.241	6.350
0.208	0.180	PURS	2061.84351	1095.98645	2041.83114	1090.39170	0.693	9.010	5.350	5.153
0.388	0.040	SACC	2041.90041	1090.14561	2024.11458	1185.02009	3.218	283.842	52.155	101.268
0.428	0.223	FIXA	2023.76883	1184.94056	2009.38374	1179.90721	0.508	41.917	4.729	6.679
0.650	0.063	SACC	2012.56071	1181.53639	2381.17397	1229.60409	12.391	309.620	219.948	202.831
0.773	0.015	SACC	2538.50778	1303.35019	2578.46089	1353.91180	2.148	223.771	167.756	171.189
0.788	0.045	FIXA	2587.46222	1353.33963	2644.25929	1316.40348	2.258	133.744	80.362	79.304
0.833	0.015	SACC	2631.94041	1319.58507	2565.02485	1320.16204	2.231	262.876	187.742	180.990
0.848	0.418	PURS	2561.77910	1318.37211	2069.51462	1197.89580	16.893	174.174	30.674	43.249
1.265	0.020	SACC	2064.83682	1192.81319	2041.69294	1021.31633	5.768	397.330	319.011	301.117
1.285	0.230	PURS	2041.38677	1008.77873	2247.52202	959.59069	7.064	169.509	34.453	41.949
1.516	0.043	SACC	2237.92605	965.37526	1881.35516	1009.47397	11.976	518.749	282.268	296.383
1.626	0.228	PURS	1527.12008	1043.76456	1826.53141	1101.77251	10.179	271.241	49.180	65.034
1.853	0.010	SACC	1843.10286	1098.97744	1878.22797	1094.36494	1.181	223.993	188.845	174.136
1.863	0.063	FIXA	1878.94259	1094.68139	1878.44818	1094.09066	0.026	67.594	8.198	11.362
1.926	0.190	PURS	1879.06069	1094.57510	1856.92101	1116.93339	1.049	87.617	6.784	10.230
2.116	0.018	SACC	1869.64457	1119.66905	2022.85240	1163.74877	5.314	462.160	344.914	329.796
2.281	0.030	SACC	2561.37030	1344.59898	2499.62077	1335.40599	2.081	267.814	104.497	121.771
2.311	0.305	PURS	2499.33784	1334.04801	2072.55121	1300.68437	14.270	120.751	43.305	48.132
2.616	0.050	FIXA	2071.49113	1300.86222	2066.54070	1305.22673	0.220	120.462	4.220	13.901
2.666	0.025	SACC	2068.93819	1296.89388	2029.09582	1026.95414	9.095	572.827	378.681	378.071
2.691	0.088	FIXA	2027.12952	1017.35920	2010.39438	972.64320	1.592	146.922	11.373	26.241
2.779	0.198	PURS	2010.83095	973.07974	2062.56366	995.10799	1.874	81.770	7.853	10.742
2.976	0.070	SACC	2057.19885	1000.98792	1523.97802	1076.33672	17.951	451.867	251.713	262.635
