onset	duration	label	start_x	start_y	end_x	end_y	amp	peak_vel	med_vel	avg_vel
0.073	0.048	SACC	2089.99062	1548.87572	1991.85802	1354.92743	6.322	657.533	138.307	203.904
0.120	0.035	HPSO	1991.20010	1356.45714	1990.01344	1402.45642	1.534	202.065	69.528	76.618
0.155	0.045	FIXA	1989.53481	1406.28345	1987.04888	1408.64461	0.114	51.402	21.727	23.528
0.200	0.093	PURS	1987.34523	1407.14554	2004.18281	1383.67275	0.963	31.601	15.352	15.561
0.293	0.020	ISAC	2004.02811	1384.24923	1993.57338	1438.68575	1.848	180.039	106.155	105.799
0.313	0.005	ILPS	1993.64308	1440.41571	1994.66214	1435.65266	0.162	64.916	43.995	43.995
0.318	0.610	FIXA	1994.63822	1436.22329	2000.72595	1445.40802	0.367	24.414	5.197	6.879
0.928	0.505	PURS	2000.89948	1445.55747	1994.66272	1421.32682	0.834	36.774	7.143	8.759
1.433	0.220	FIXA	1994.59090	1421.24118	1990.92610	1412.72557	0.309	26.040	5.348	6.345
1.653	0.248	PURS	1990.96650	1412.89257	1984.61373	1396.58485	0.583	34.595	8.885	10.685
1.901	0.285	FIXA	1983.79635	1397.87340	1985.91291	1398.38961	0.073	40.739	4.487	8.563
2.186	0.420	PURS	1985.81815	1397.92850	1988.49422	1414.01431	0.544	22.877	4.452	5.264
2.606	0.010	ISAC	1990.23245	1415.02030	1979.36250	1409.29155	0.410	92.371	38.738	47.707
2.616	0.088	FIXA	1978.15805	1409.49166	1990.49371	1411.38439	0.416	98.206	20.540	28.495
2.704	0.025	ISAC	1988.41279	1410.53310	1989.04309	1413.16078	0.090	122.452	67.753	70.962
2.729	0.063	FIXA	1989.84201	1414.88807	1984.44625	1409.29710	0.259	91.219	19.830	26.677
2.791	0.013	ISAC	1986.05089	1411.82486	1975.65900	1403.33677	0.447	84.695	39.903	44.389
2.804	0.063	FIXA	1976.16455	1403.41783	1987.44892	1408.28233	0.410	113.502	47.314	56.278
2.866	0.058	ISAC	1989.05676	1409.89307	1983.02587	1383.79825	0.893	206.093	67.617	90.206
2.924	0.030	IHPS	1981.05935	1383.49558	1996.96145	1403.31169	0.847	149.358	53.521	67.659
2.954	0.135	FIXA	1998.72661	1404.63705	1984.44306	1388.66261	0.714	140.505	52.740	56.466
3.089	0.065	ISAC	1983.11232	1387.59304	1984.04876	1391.68698	0.140	186.136	51.258	62.401
