onset	duration	label	start_x	start_y	end_x	end_y	amp	peak_vel	med_vel	avg_vel
0.015	0.048	FIXA	1974.96269	1151.77938	1976.37790	1147.15310	0.159	8.396	3.525	4.028
0.063	0.198	PURS	1976.35474	1146.39325	1981.83616	1121.93641	0.835	37.380	5.518	9.994
0.260	0.018	SACC	1982.83877	1118.10600	1986.75211	1097.67131	0.694	75.568	52.774	49.821
0.278	0.103	FIXA	1986.54553	1097.17179	1996.01316	1076.19801	0.767	30.044	10.427	11.766
0.380	0.028	SACC	1996.84107	1071.90067	1974.92225	1163.31369	3.133	288.862	118.030	134.774
0.408	0.045	FIXA	1975.60352	1163.39822	1975.91751	1172.39757	0.300	64.609	16.829	21.546
0.453	0.265	PURS	1974.81401	1174.73939	1968.28302	1153.89655	0.728	61.892	8.714	16.267
0.718	0.015	SACC	1967.34145	1157.87325	1973.28717	1182.22067	0.835	84.340	71.118	66.303
0.905	0.018	SACC	1987.78488	1115.78609	1975.47954	1145.98199	1.087	110.574	74.358	69.391
0.923	0.008	LPSO	1975.70271	1144.36623	1977.46933	1135.99203	0.285	88.634	25.447	45.274
0.930	0.055	FIXA	1977.70819	1135.81828	1979.02305	1104.15964	1.056	43.415	17.201	20.359
0.985	0.023	ISAC	1979.29769	1102.78677	1986.62901	1080.00890	0.798	55.703	43.604	37.640
1.008	0.005	ILPS	1986.76636	1078.52754	1986.85237	1076.60968	0.064	25.588	22.708	22.708
1.013	0.803	PURS	1986.97371	1075.15639	1987.68392	1020.58165	1.819	30.772	6.993	8.799
1.816	0.165	FIXA	1988.05491	1020.84959	1986.59489	1027.07910	0.213	21.112	8.351	7.986
1.981	0.370	PURS	1986.90900	1027.30702	1974.36159	1057.64938	1.094	38.797	7.352	9.757
2.351	0.208	FIXA	1974.12809	1057.89252	1976.80346	1059.97708	0.113	18.130	5.234	6.030
2.558	0.125	PURS	1976.04468	1059.48829	1970.04997	1053.22016	0.289	13.830	6.796	6.775
2.683	1.496	FIXA	1970.06103	1053.68412	1985.10804	1057.04943	0.514	19.973	4.868	5.394
4.179	0.015	SACC	1984.95586	1058.69421	1991.99430	1080.65723	0.769	88.523	59.764	55.475
4.304	0.055	SACC	1945.91580	1187.21568	1992.96880	1106.99104	2.227	350.898	96.345	130.339
4.359	0.035	HPSO	1992.93233	1107.15346	1996.68490	1076.92514	1.015	84.351	21.863	37.469
4.394	0.600	FIXA	1997.82547	1072.32509	1988.51531	1057.76182	0.576	63.168	6.212	7.822
4.994	0.090	PURS	1988.08667	1056.90600	1989.22881	1053.47213	0.121	24.373	6.360	8.037
5.084	2.226	FIXA	1988.87614	1053.36632	1974.60513	1073.78506	0.830	27.250	4.146	5.043
7.310	0.018	ISAC	1975.47641	1074.22513	1986.33503	1094.27470	0.760	65.096	43.534	45.541
7.328	0.020	ILPS	1987.52358	1094.72642	1991.36816	1100.48309	0.231	26.981	14.357	16.553
7.348	0.078	FIXA	1991.24994	1101.16889	1990.64328	1112.52180	0.379	28.505	4.108	7.820
7.425	0.020	ISAC	1990.48582	1113.96946	1989.85023	1128.26298	0.477	41.061	27.435	26.423
7.445	1.118	FIXA	1990.17757	1128.48831	1989.87011	1142.86092	0.479	18.887	3.015	4.267
8.563	0.045	SACC	1989.84446	1142.18576	1982.75748	1089.41459	1.775	79.905	37.599	40.176
8.608	0.858	FIXA	1982.51858	1089.36573	1986.33727	1091.99037	0.154	20.625	3.210	4.472
9.466	0.175	PURS	1986.35715	1091.51367	1943.35960	1180.67207	3.299	216.858	3.320	28.311
9.791	0.078	SACC	1999.59225	1235.66486	1988.60487	1119.38560	3.358	511.518	147.457	189.033
9.869	0.070	FIXA	1988.76136	1118.91116	1988.43152	1117.43203	0.051	23.380	8.630	9.251
9.939	0.020	ISAC	1987.87371	1117.75543	1995.76198	1095.50604	0.787	65.113	46.454	40.536
9.959	0.525	FIXA	1994.86178	1095.56819	1974.39511	1094.24280	0.684	35.537	3.760	4.938
10.484	0.195	PURS	1974.23201	1094.31237	1968.86410	1080.74654	0.486	21.634	3.178	4.487
10.679	0.180	FIXA	1968.82109	1081.01634	1964.58108	1069.73716	0.402	21.670	4.373	6.468
10.859	0.013	ISAC	1965.39591	1068.75369	1969.28953	1057.13397	0.408	52.978	37.305	36.106
10.871	0.035	ILPS	1969.61432	1056.37982	1970.11385	1044.32467	0.402	37.511	14.687	16.869
10.906	0.075	FIXA	1969.23821	1042.90283	1962.86595	1040.27575	0.230	29.928	9.011	11.268
10.981	0.300	PURS	1962.59518	1039.92810	1962.64827	1046.14403	0.207	36.610	10.417	12.872
11.282	0.080	FIXA	1962.63736	1045.84024	1977.92833	1105.65378	2.058	264.037	14.733	32.114
11.962	0.073	FIXA	1989.98907	995.61509	1982.29994	955.42929	1.746	314.446	34.744	52.856
12.034	0.433	PURS	1982.81753	955.97585	1973.37796	1013.66610	1.949	50.967	4.462	7.818
12.467	0.093	FIXA	1973.17053	1013.19536	1972.00601	1013.38993	0.039	7.890	4.330	4.188
12.560	0.020	SACC	1971.66677	1013.29214	1955.58879	1040.83415	1.063	86.187	61.475	53.812
12.580	0.080	FIXA	1955.47052	1040.92253	1956.55294	1047.38008	0.218	8.863	3.417	3.690
12.660	0.190	PURS	1956.51066	1047.43664	1955.36788	1057.28042	0.330	9.177	3.065	3.615
12.850	0.350	FIXA	1955.21964	1057.53103	1949.08449	1062.99911	0.274	8.171	2.688	2.982
13.200	0.020	ISAC	1948.27528	1063.28496	1964.76552	1059.07194	0.567	46.105	32.713	29.989
13.220	0.818	FIXA	1964.92521	1059.01378	1969.54318	1063.12302	0.206	17.348	3.422	4.127
14.038	0.178	PURS	1969.46882	1063.29648	1965.88469	1068.70185	0.216	10.895	3.004	3.691
14.215	0.115	FIXA	1966.06281	1068.69515	1964.84456	1072.68781	0.139	6.003	2.327	2.428
