onset	duration	label	start_x	start_y	end_x	end_y	amp	peak_vel	med_vel	avg_vel
0.015	0.363	FIXA	2010.83013	1352.04635	2012.62336	1350.37411	0.100	39.055	8.174	10.529
0.378	0.033	SACC	2012.79729	1348.04999	2001.32534	1406.23855	1.977	198.344	66.783	94.468
0.410	0.035	LPSO	2003.31874	1407.32562	2001.55332	1410.75651	0.129	51.281	23.281	22.590
0.445	0.205	FIXA	2001.09626	1409.98421	1997.40905	1428.42094	0.627	47.386	7.289	9.217
0.650	0.015	ISAC	1997.60749	1429.03248	1997.08718	1423.17417	0.196	26.612	11.913	14.527
0.665	0.018	IHPS	1997.26386	1423.33750	1996.71554	1422.84818	0.024	26.825	12.545	13.674
0.683	0.088	FIXA	1996.27337	1423.00451	1995.90056	1421.79397	0.042	15.374	4.375	4.943
0.770	0.010	ISAC	1995.16978	1421.99987	1995.33649	1419.03618	0.099	20.240	11.360	12.612
0.780	0.013	IHPS	1995.50502	1419.09256	1995.88875	1420.34224	0.044	25.132	4.718	9.070
0.793	0.248	FIXA	1996.15325	1420.59805	1997.33963	1413.19425	0.250	19.229	6.537	7.181
1.040	0.020	ISAC	1997.48921	1412.47907	1999.19733	1405.44565	0.241	19.302	15.507	13.564
1.060	0.123	FIXA	1999.16984	1405.21342	1996.10999	1413.53354	0.295	18.965	6.239	6.889
1.183	0.035	ISAC	1996.37429	1414.06373	1998.39415	1410.51272	0.136	21.130	13.283	13.094
1.218	0.103	FIXA	1998.55023	1410.54165	1999.94145	1406.95742	0.128	9.338	3.502	3.940
1.320	0.488	PURS	2000.03095	1406.82280	1988.74879	1385.14415	0.815	13.951	3.097	3.749
1.808	0.150	FIXA	1988.74396	1385.09289	1985.40119	1385.32090	0.112	17.211	3.397	4.675
1.958	0.153	PURS	1985.24518	1385.41273	1982.95007	1392.62523	0.252	11.643	4.346	4.691
2.111	0.390	FIXA	1983.07197	1392.51880	1983.08589	1391.72674	0.026	18.567	3.438	4.487
2.501	0.020	ISAC	1982.57250	1391.22176	1983.67615	1391.91019	0.043	29.989	12.547	14.007
2.521	0.210	FIXA	1983.66588	1391.99916	1982.04588	1400.31249	0.282	21.882	5.866	6.323
2.731	0.248	PURS	1982.62060	1399.88605	1971.34728	1403.84824	0.398	12.438	2.143	3.167
2.979	0.103	FIXA	1971.23648	1403.91751	1971.25930	1405.26205	0.045	4.486	0.985	1.310
3.081	0.185	PURS	1971.42359	1405.61462	1972.87885	1416.39095	0.362	9.418	1.843	2.518
3.266	0.128	FIXA	1972.74743	1416.30817	1972.17678	1422.47309	0.206	5.822	2.384	2.631
3.394	0.275	PURS	1972.09876	1422.73144	1975.12065	1438.79316	0.545	8.747	2.338	2.686
3.669	0.043	FIXA	1975.08374	1438.98226	1975.94218	1438.47332	0.033	2.753	1.894	1.895
