onset	duration	label	start_x	start_y	end_x	end_y	amp	peak_vel	med_vel	avg_vel
0.015	0.173	FIXA	2030.55007	1376.01469	2030.80191	1409.73042	0.973	31.010	5.294	8.186
0.188	0.015	SACC	2030.81282	1410.17820	2031.64947	1403.35334	0.196	43.921	23.235	22.341
0.203	0.140	FIXA	2032.28055	1402.74146	2034.99430	1411.02358	0.249	51.622	2.823	5.038
0.343	0.020	SACC	2035.28262	1411.48783	2036.20755	1398.26453	0.379	49.610	23.734	25.653
0.363	0.013	HPSO	2036.38137	1398.58768	2037.08244	1404.43924	0.168	33.421	10.592	14.318
0.375	0.053	FIXA	2037.09692	1404.46690	2036.69970	1411.41411	0.199	15.329	4.937	6.231
0.428	0.023	SACC	2036.96804	1410.28670	2033.40223	1451.99920	1.196	114.613	74.702	66.644
0.450	0.015	HPSO	2033.02888	1453.20426	2032.71050	1472.78482	0.560	58.785	41.736	39.727
0.465	1.243	FIXA	2032.61021	1473.96535	2032.07807	1476.39494	0.071	32.297	5.068	7.254
1.708	0.270	PURS	2031.92540	1475.66899	2019.51498	1458.66480	0.601	20.499	3.852	6.179
1.978	0.035	SACC	2019.14742	1458.85296	2017.15815	1459.36910	0.059	117.148	102.391	80.010
2.013	1.571	FIXA	2016.13272	1461.51252	2021.32368	1462.31035	0.150	51.276	4.906	6.400
3.584	0.255	PURS	2021.64914	1462.57146	2025.91237	1483.68048	0.615	25.949	6.451	7.604
3.839	0.158	FIXA	2025.81633	1484.55323	2024.19829	1491.36132	0.200	33.416	6.117	8.354
3.996	0.205	PURS	2024.40868	1491.37302	2024.50033	1503.78395	0.355	32.749	6.407	7.736
4.202	0.188	FIXA	2026.93481	1504.46856	2026.54149	1513.90800	0.270	32.394	10.042	11.792
4.389	0.235	PURS	2026.48299	1514.11100	2022.53139	1489.85038	0.702	25.224	5.324	7.109
4.624	0.080	FIXA	2022.57989	1490.90864	2017.37272	1485.66862	0.211	21.610	11.620	10.470
4.704	0.510	PURS	2016.20877	1484.28047	2019.09851	1439.66962	1.277	31.997	7.576	9.045
5.214	0.100	FIXA	2018.63280	1439.82920	2018.47155	1435.68551	0.118	17.391	5.652	6.625
5.314	0.120	PURS	2018.45905	1435.88144	2019.08365	1427.87432	0.229	13.110	6.574	6.081
5.434	0.895	FIXA	2019.09484	1427.59871	2010.03432	1429.87685	0.267	21.556	3.374	4.594
6.330	0.263	PURS	2010.16167	1430.19202	2013.50072	1394.26792	1.031	27.861	2.670	4.307
6.592	0.200	FIXA	2013.48512	1393.92523	2012.01726	1405.29778	0.328	5.987	2.002	2.170
6.792	0.343	PURS	2012.06414	1405.17002	2004.30479	1435.07516	0.883	26.447	4.084	6.491
7.135	0.220	FIXA	2004.62758	1435.68194	2006.10580	1448.31475	0.363	29.240	8.298	8.909
7.355	0.308	PURS	2006.29719	1448.32799	2018.27757	1470.37913	0.717	31.382	6.169	8.663
7.663	0.013	SACC	2017.45520	1472.17276	2007.05919	1469.10706	0.310	39.763	33.131	29.859
7.675	0.475	FIXA	2006.07746	1468.33095	2005.44121	1492.84676	0.701	25.473	4.181	6.329
8.150	0.013	ISAC	2004.94596	1492.47386	1999.44160	1486.72052	0.227	31.654	18.080	19.623
8.163	0.020	IHPS	1999.41356	1486.49637	2003.76871	1491.40891	0.188	28.159	9.628	11.474
8.183	0.105	FIXA	2003.81207	1491.31476	2004.93576	1491.69254	0.034	5.500	1.906	2.044
8.288	0.015	ISAC	2004.59808	1491.71219	2007.73468	1490.32629	0.098	11.888	7.992	7.615
8.303	0.008	IHPS	2007.57586	1489.87847	2005.98550	1489.51053	0.047	11.662	7.249	8.113
8.311	0.123	FIXA	2005.70163	1489.64308	2008.99023	1491.58874	0.109	5.132	1.678	1.795
8.433	0.010	ISAC	2008.58357	1491.68460	2010.44891	1491.35302	0.054	11.081	6.680	6.609
8.443	0.210	FIXA	2010.61575	1491.35286	2009.31827	1489.93284	0.055	15.935	1.703	2.757
8.653	0.010	ISAC	2009.30966	1490.25039	2009.80540	1494.10569	0.111	21.616	11.403	12.013
8.663	0.030	ILPS	2009.73860	1494.12353	2011.77640	1494.79038	0.061	13.408	2.777	3.817
8.693	0.068	FIXA	2011.90879	1494.45817	2005.99958	1492.50970	0.178	22.639	4.568	6.470
8.761	0.020	SACC	2007.24893	1492.21791	2006.14192	1488.32235	0.116	41.952	20.852	24.561
8.781	0.098	FIXA	2006.68742	1488.30805	2015.12073	1502.26589	0.466	32.713	12.847	12.723
8.878	0.560	PURS	2015.07979	1502.23399	2014.62253	1561.68303	1.699	24.621	4.036	5.736
