onset	duration	label	start_x	start_y	end_x	end_y	amp	peak_vel	med_vel	avg_vel
0.015	0.020	SACC	1994.64491	1266.20267	1989.59484	1260.54529	0.434	92.897	46.972	51.426
0.035	0.005	LPSO	1989.23431	1259.11516	1988.44698	1256.78823	0.070	28.064	22.457	22.457
0.040	0.048	FIXA	1988.01206	1255.00454	1984.56895	1251.34151	0.144	23.297	6.455	8.247
0.088	0.270	PURS	1984.76038	1251.89191	1987.74048	1285.94031	0.977	19.679	6.031	6.899
0.358	0.070	SACC	1987.97009	1286.00082	1974.38990	1367.18181	2.352	288.939	90.404	113.240
0.428	0.033	LPSO	1974.63455	1365.40665	1977.80591	1355.79376	0.289	30.702	6.171	11.513
0.460	0.128	FIXA	1977.89252	1355.41844	1974.29462	1321.26622	0.981	44.942	10.589	14.623
0.588	0.015	SACC	1974.24823	1319.24673	1972.32556	1302.88038	0.471	47.321	37.943	35.244
0.603	0.220	FIXA	1972.29808	1302.95356	1978.75031	1298.63925	0.222	24.553	5.109	6.452
0.823	0.260	PURS	1978.60886	1299.67296	1973.42693	1287.77407	0.371	14.921	4.250	5.340
1.083	0.205	FIXA	1973.47614	1288.05712	1973.90818	1287.29411	0.025	6.611	2.228	2.508
1.288	0.183	PURS	1973.97282	1287.46641	1978.66411	1297.81388	0.325	9.220	2.780	3.103
1.471	0.185	FIXA	1978.62530	1298.03835	1981.41725	1296.70079	0.088	9.276	2.254	2.923
1.656	0.538	PURS	1981.39760	1296.92792	1976.92399	1258.09562	1.117	21.194	4.939	6.160
2.193	0.048	ISAC	1977.58827	1257.08612	1991.78611	1219.48947	1.148	41.018	27.286	26.142
2.241	0.045	FIXA	1991.94777	1219.79405	1984.33563	1202.82332	0.531	38.659	5.832	13.712
2.286	0.023	SACC	1985.08668	1202.66433	1953.79943	1208.07773	0.907	76.560	40.553	41.544
2.308	0.228	FIXA	1953.70318	1208.64124	1946.68271	1212.30215	0.226	24.292	4.599	6.646
2.536	0.020	ISAC	1947.43566	1211.55985	1960.97124	1206.62381	0.412	31.098	23.383	22.143
2.556	0.400	FIXA	1961.13506	1206.53456	1967.10130	1179.75088	0.784	7.563	2.772	2.969
2.956	0.065	SACC	1966.38307	1179.09849	1916.05176	1289.88148	3.477	273.791	46.453	91.184
3.084	0.063	SACC	1938.08431	1286.63791	1985.58433	1187.05476	2.650	229.672	96.111	99.418
3.146	0.015	LPSO	1985.63314	1186.39196	1985.95280	1182.22538	0.119	11.837	9.576	9.348
3.161	0.048	FIXA	1986.31500	1181.45364	1987.56557	1179.06988	0.077	9.916	2.567	3.786
3.209	0.028	ISAC	1987.80438	1178.34599	1991.12470	1166.14523	0.361	28.662	13.475	15.275
3.236	0.140	FIXA	1991.18449	1166.28003	1986.75210	1167.51986	0.132	5.447	1.859	2.072
3.376	0.013	ISAC	1987.02763	1168.29227	1983.75811	1164.37023	0.146	24.139	10.654	13.605
3.389	0.010	IHPS	1983.67286	1164.14947	1985.82768	1167.47142	0.113	24.066	10.745	12.065
3.399	0.093	FIXA	1985.99149	1167.96013	1986.83459	1170.75159	0.083	30.102	3.444	6.119
3.491	0.020	ISAC	1987.25387	1171.16989	1980.69820	1162.69285	0.306	26.036	15.784	16.182
3.511	0.120	FIXA	1980.30799	1162.99955	1978.87200	1160.90539	0.073	7.644	1.550	2.101
3.631	0.028	ISAC	1979.25746	1160.74808	1987.30596	1171.34860	0.380	35.384	12.755	16.775
3.659	0.035	IHPS	1987.93743	1171.89159	1981.44563	1162.41387	0.328	38.655	10.261	14.447
3.694	0.233	FIXA	1982.96404	1164.65449	1977.48318	1160.88998	0.190	42.803	2.076	4.652
3.926	0.028	ISAC	1977.41561	1160.55416	1982.60063	1164.42930	0.185	34.246	3.913	11.555
3.954	0.440	FIXA	1983.53455	1164.77712	1971.16650	1149.62327	0.559	37.463	2.929	4.190
4.394	0.408	PURS	1971.88467	1149.44118	1965.67256	1121.82356	0.809	20.114	3.160	4.132
4.802	0.328	FIXA	1965.38975	1122.23193	1967.03522	1111.10804	0.321	6.919	2.159	2.420
5.129	0.020	ISAC	1967.21655	1110.59666	1975.84081	1105.22660	0.290	22.743	16.745	15.420
