onset	duration	label	start_x	start_y	end_x	end_y	amp	peak_vel	med_vel	avg_vel
0.015	0.285	FIXA	2010.01053	1189.88415	2020.15934	1192.67143	0.351	21.912	3.102	3.831
0.300	0.043	SACC	2020.18727	1192.51483	2005.76606	1260.27573	2.309	247.484	33.380	75.211
0.343	0.438	FIXA	2005.63609	1260.21026	2002.30725	1259.49035	0.114	23.569	6.241	7.524
0.780	0.260	PURS	2002.34624	1260.23690	2002.98130	1272.01645	0.393	18.647	6.862	7.406
1.040	2.663	FIXA	2003.49434	1271.58416	2010.54517	1258.60451	0.492	51.997	7.245	8.925
3.704	0.015	ISAC	2010.21646	1260.83385	2012.86249	1254.22570	0.237	76.285	36.421	37.201
3.719	0.138	FIXA	2012.88399	1254.54751	2011.00793	1271.91329	0.582	70.193	10.381	13.457
3.856	0.253	PURS	2011.08031	1272.36375	2002.54212	1280.06757	0.383	32.864	11.174	12.965
4.109	0.048	FIXA	2003.03192	1279.50109	2002.09217	1279.05107	0.035	14.619	4.599	5.585
4.157	0.383	PURS	2002.00255	1278.28879	2001.83053	1323.67885	1.513	48.798	7.207	9.421
4.539	0.053	FIXA	2001.87129	1324.38853	1999.11267	1321.62180	0.130	21.665	8.722	9.240
4.592	0.090	PURS	1999.45544	1321.55893	2002.04321	1316.08126	0.202	22.348	4.772	7.788
4.682	0.043	FIXA	2002.09626	1316.28912	2001.06840	1317.00966	0.042	6.127	4.220	4.240
4.724	0.415	PURS	2001.02224	1317.31272	1999.09367	1352.73164	1.182	38.595	7.404	8.954
5.139	0.015	SACC	1998.98116	1350.12809	1997.94790	1318.41674	1.058	104.101	83.621	76.532
5.154	0.015	HPSO	1997.38522	1319.86996	1988.92695	1338.18662	0.673	93.517	47.394	49.451
5.169	0.088	FIXA	1988.36885	1337.84480	1985.47193	1327.22801	0.367	28.462	3.489	5.754
5.257	0.148	PURS	1984.61735	1325.07910	1991.50904	1307.31035	0.635	38.596	8.447	12.193
5.404	0.038	SACC	1991.90882	1305.74593	2021.73058	1374.43228	2.496	300.610	75.110	120.927
5.442	0.018	HPSO	2020.86812	1371.55705	1998.42396	1316.13575	1.993	181.311	122.649	119.593
5.459	0.065	FIXA	1996.76070	1314.01239	1990.13237	1304.92690	0.375	145.841	27.967	46.207
5.525	0.853	PURS	1990.04713	1307.09205	1998.33496	1319.39252	0.494	62.724	8.994	11.390
6.377	0.080	FIXA	1998.72048	1318.70198	1994.20247	1299.54305	0.656	52.430	17.664	20.743
6.457	0.328	PURS	1993.84025	1301.40895	1987.32038	1314.30112	0.482	60.137	11.746	13.987
6.785	0.073	FIXA	1987.76029	1314.24612	1986.35287	1313.76155	0.050	27.041	7.548	11.389
6.857	0.020	SACC	1986.46386	1315.89265	1988.37885	1264.99102	1.698	169.495	91.923	89.741
6.877	0.025	HPSO	1988.75938	1264.53809	1983.88978	1313.43525	1.638	118.345	86.631	71.496
6.903	0.263	FIXA	1983.95874	1314.31674	1984.93457	1315.76105	0.058	35.186	8.012	10.262
7.165	0.020	SACC	1984.67717	1315.41261	2008.73127	1358.60029	1.648	165.755	113.088	100.889
7.185	0.110	FIXA	2009.88751	1361.28140	1990.57496	1336.37698	1.051	206.623	24.995	44.457
7.295	0.025	SACC	1991.02490	1333.22295	2007.18239	1369.75517	1.332	202.444	112.288	107.366
7.320	0.015	HPSO	2005.19467	1369.72316	1989.31288	1346.07054	0.950	149.468	61.988	67.817
7.335	0.045	FIXA	1988.74311	1345.32509	1989.61720	1348.84382	0.121	17.905	8.680	8.016
7.380	0.245	PURS	1989.63397	1349.44009	1996.61896	1388.73097	1.330	29.056	8.453	9.721
7.625	0.165	FIXA	1996.44827	1388.81894	1992.30936	1393.34991	0.205	46.507	8.917	12.061
7.790	0.100	PURS	1991.91609	1393.44293	1994.21317	1396.39439	0.125	16.082	5.472	6.237
7.890	0.238	FIXA	1994.26202	1396.59290	1993.69762	1397.04912	0.024	51.467	9.231	12.716
8.128	0.058	SACC	1993.19422	1395.29498	1990.53212	1390.49479	0.183	268.454	118.376	120.590
8.185	0.105	FIXA	1990.53740	1390.76298	1993.37746	1395.41938	0.182	17.733	4.752	5.787
8.291	0.018	ISAC	1993.53739	1394.64173	1994.40711	1376.52618	0.605	51.123	39.993	36.049
8.308	0.038	FIXA	1994.48766	1376.17700	1992.77311	1369.23988	0.238	26.955	8.300	10.254
8.346	0.048	ISAC	1991.94066	1366.87129	1993.75305	1309.55240	1.912	69.024	47.776	43.044
8.393	0.090	FIXA	1993.76006	1309.72490	1998.21947	1311.00587	0.155	20.728	7.461	8.544
8.483	0.543	PURS	1997.78291	1311.53167	1999.32208	1288.58126	0.767	56.374	7.404	9.712
9.026	0.153	FIXA	1999.29339	1289.48504	1997.83694	1284.37892	0.177	26.700	7.937	10.315
9.178	0.390	PURS	1997.31505	1283.50564	1997.72829	1289.17889	0.190	38.467	13.037	13.497
9.568	0.633	FIXA	1998.02174	1288.93111	2010.05575	1289.97953	0.403	36.882	5.909	7.727
10.201	0.373	PURS	2010.18361	1289.87402	2007.99356	1314.15304	0.813	50.022	6.939	8.973
10.574	0.013	ISAC	2007.87561	1316.02579	2010.31990	1335.90503	0.668	82.377	62.634	59.017
10.586	0.058	FIXA	2010.83186	1337.83559	2009.78636	1345.12640	0.246	31.365	13.684	15.889
10.644	0.175	PURS	2008.57305	1344.75022	2007.32028	1358.75677	0.469	29.743	7.352	8.387
10.819	0.060	FIXA	2007.20855	1358.46547	2006.73140	1354.36979	0.137	13.522	2.848	4.413
10.879	0.140	PURS	2006.78939	1354.50733	2008.48622	1368.80307	0.480	25.532	4.132	6.184
11.019	0.268	FIXA	2008.02988	1368.11383	1999.75474	1357.34647	0.453	24.011	4.127	5.889
11.287	0.048	SACC	1999.56512	1357.29165	2002.01043	1360.49701	0.134	151.957	65.851	69.685
11.334	0.420	FIXA	2001.98176	1360.46813	2010.19478	1369.25444	0.401	23.886	5.497	6.268
11.754	0.090	SACC	2009.76367	1372.15300	2041.82396	610.80118	25.401	512.586	324.795	285.314
11.844	0.035	HPSO	2044.15323	609.00435	2052.56434	504.46839	3.496	166.177	122.173	114.573
11.879	0.150	FIXA	2053.91712	504.01170	2074.33403	499.00053	0.701	50.321	10.641	13.592
12.029	0.015	SACC	2075.49071	494.60406	2087.95233	457.83192	1.294	120.836	104.683	96.977
12.044	0.090	FIXA	2090.29088	454.11359	2099.26919	433.36284	0.754	65.727	17.465	20.827
12.134	0.198	PURS	2097.84383	433.09754	2058.15988	508.79719	2.849	158.287	16.558	23.687
12.460	0.048	FIXA	1981.74679	1110.09551	1970.45582	1373.68401	8.236	301.197	215.983	198.589
12.507	0.035	SACC	1970.96488	1377.87201	2027.61250	1460.52998	3.340	212.450	99.240	115.005
12.542	0.050	FIXA	2031.14205	1462.59716	2029.34640	1470.05203	0.256	59.551	7.943	13.746
12.592	0.020	SACC	2029.10785	1465.49850	2039.54674	1392.17234	2.469	226.564	139.278	136.560
12.612	0.040	FIXA	2040.09502	1392.09105	2036.70937	1401.94608	0.347	44.384	19.288	19.907
12.652	0.025	SACC	2036.44595	1404.16464	2034.40901	1375.74757	0.950	130.671	63.104	66.642
12.677	0.023	LPSO	2034.36919	1375.47852	2033.96456	1351.85981	0.787	60.291	43.881	38.303
12.700	0.108	FIXA	2033.80225	1352.48909	2037.25308	1367.02824	0.498	49.226	9.232	13.160
12.807	0.428	PURS	2037.35022	1366.47398	2027.33657	1385.56957	0.719	75.072	8.491	11.520
13.235	0.018	SACC	2027.94343	1388.80248	2017.35633	1363.44986	0.916	84.074	62.020	58.686
13.252	0.240	PURS	2016.74386	1363.68780	2032.83769	1430.22170	2.282	129.566	12.718	20.251
13.492	0.015	SACC	2030.56556	1426.76721	1996.30271	1362.02361	2.442	246.909	184.582	171.964
13.507	0.035	HPSO	1994.32318	1360.00435	2006.04109	1374.78707	0.629	121.865	21.049	36.729
13.542	0.138	FIXA	2012.21989	1385.15177	2016.60957	1395.52830	0.376	175.084	26.311	43.733
13.680	0.028	SACC	2017.20174	1401.35016	2025.28972	1445.83302	1.507	85.555	69.697	61.900
13.707	0.083	FIXA	2025.30806	1445.92482	2033.00695	1440.66649	0.311	68.850	10.360	16.107
13.790	0.033	SACC	2025.46200	1435.54412	2048.76332	1484.71884	1.814	379.596	206.982	218.233
13.823	0.100	FIXA	2047.17712	1484.09572	1957.68580	1504.62853	3.061	362.660	23.810	51.246
13.923	0.015	SACC	1964.41014	1492.50426	2015.14429	1449.68907	2.213	389.974	215.205	213.599
13.938	0.035	LPSO	2011.12575	1448.55782	2007.87385	1445.44958	0.150	339.485	109.756	135.654
13.973	0.165	FIXA	2015.84381	1444.62882	2005.33997	1466.96249	0.823	133.941	26.965	38.024
14.190	0.038	SACC	1995.90538	1441.58818	2087.70920	1483.92405	3.370	640.137	280.421	292.185
14.228	0.063	FIXA	2091.30041	1485.20342	2002.06911	1476.65562	2.988	388.341	120.995	141.429
14.290	0.015	SACC	1994.83812	1469.37229	1980.41410	1528.66114	2.034	221.797	172.657	163.033
14.305	0.068	FIXA	1978.52871	1528.85612	1962.53147	1483.47142	1.604	379.560	65.942	91.623
14.373	0.010	SACC	1971.20403	1481.66210	2001.91194	1473.28076	1.061	215.121	125.826	135.650
14.383	0.080	FIXA	2002.02463	1472.82375	1996.70343	1491.06338	0.633	362.211	94.546	128.254
14.463	0.038	SACC	1988.45922	1488.22730	1957.38632	1491.61171	1.042	474.588	203.770	224.612
14.500	0.068	FIXA	1953.60008	1492.65550	2013.82927	1488.55283	2.012	514.073	147.012	204.165
14.700	0.075	FIXA	2015.01645	1412.89779	1982.96006	1493.92318	2.763	559.232	250.695	264.512
14.803	0.060	FIXA	2037.31411	1539.03137	2034.16583	1437.97200	2.802	519.623	233.089	241.309
15.018	0.038	FIXA	2023.96267	1502.04193	2014.82205	1538.02593	1.517	481.234	245.994	246.057
15.055	0.048	SACC	2025.03123	1518.62006	2013.40748	1474.45777	1.522	368.518	200.808	217.784
15.103	0.038	FIXA	2017.60985	1472.47260	1974.17390	1526.66321	2.315	353.474	200.933	210.323
15.193	0.038	FIXA	2030.82685	1508.19191	2069.62783	1523.97962	1.373	620.653	284.873	291.920
15.578	0.085	SACC	1954.84982	1503.82958	2018.74224	1417.61138	3.077	373.776	236.972	229.345
15.663	0.010	HPSO	2017.47543	1418.97759	2011.74766	1396.23770	0.782	128.587	92.725	84.718
15.673	0.135	FIXA	2011.58078	1394.52387	2024.17634	1376.24408	0.740	46.857	8.104	10.531
15.808	0.298	PURS	2024.36488	1376.22622	2014.87935	1363.93846	0.517	30.167	5.449	7.533
16.106	0.015	ISAC	2015.17971	1366.20091	2012.68723	1346.90706	0.648	81.092	42.606	48.343
16.121	0.013	IHPS	2012.95314	1346.27827	2014.51811	1353.70637	0.253	71.869	16.534	28.661
16.133	0.108	FIXA	2014.58395	1353.92119	2014.34299	1341.65253	0.409	53.779	10.795	14.599
16.241	0.375	PURS	2014.28654	1340.94491	2023.28713	1333.01621	0.400	161.442	5.678	10.456
16.726	0.048	SACC	1922.87347	1381.68628	2001.83280	1259.49913	4.384	475.390	285.584	265.654
16.774	0.025	LPSO	2001.80775	1260.10453	2010.44417	1274.60987	0.563	32.330	25.380	23.515
16.799	0.178	FIXA	2010.80629	1275.02473	2009.62684	1269.02940	0.204	27.074	3.776	6.203
16.976	0.273	PURS	2009.66988	1268.77153	2008.48095	1249.22510	0.653	20.100	3.202	4.661
17.249	0.065	FIXA	2008.39982	1249.07558	2007.60652	1245.85492	0.111	7.852	2.310	2.870
17.314	0.290	PURS	2007.52066	1245.87784	1998.86738	1218.42788	0.959	20.973	3.425	5.261
17.604	0.020	ISAC	1998.71747	1219.02689	1994.62327	1206.21174	0.448	54.960	31.082	31.150
17.624	0.020	IHPS	1994.69642	1206.34720	1995.74949	1214.36004	0.269	36.110	12.158	14.435
17.644	0.193	FIXA	1995.67285	1214.47025	1993.98975	1223.66304	0.312	9.604	2.670	3.434
17.836	0.218	PURS	1993.87047	1223.29412	1988.32938	1204.57421	0.651	17.004	3.012	4.013
18.054	0.018	ISAC	1988.15002	1204.01924	1988.49697	1193.07124	0.365	34.204	23.002	22.281
18.072	0.050	FIXA	1988.57364	1193.17820	1989.99472	1183.28298	0.333	15.094	6.307	6.916
18.122	0.018	ISAC	1990.12651	1183.54390	2001.43288	1186.75825	0.392	81.434	30.225	31.826
18.139	0.098	FIXA	2001.86434	1186.08124	1989.41953	1169.38838	0.694	88.363	3.276	9.434
18.237	0.033	ISAC	1989.31537	1169.19966	1987.72893	1169.62425	0.055	68.668	21.052	27.320
18.269	0.078	FIXA	1987.61322	1169.20739	1984.13518	1162.61160	0.249	12.968	4.918	5.740
18.347	0.263	PURS	1984.17125	1162.28806	1985.99301	1136.10770	0.875	67.171	5.102	8.071
18.609	0.020	ISAC	1985.83741	1135.64845	1977.40210	1124.90156	0.455	41.855	26.731	25.824
18.629	0.053	FIXA	1976.78270	1125.27804	1974.01250	1115.77139	0.330	16.731	6.179	7.526
18.682	0.463	PURS	1974.19885	1115.32551	1987.03003	1088.24194	0.999	17.014	2.868	3.530
19.144	0.380	FIXA	1987.08777	1088.38132	1979.46791	1081.88627	0.334	12.337	1.832	2.376
19.525	0.020	ISAC	1979.32216	1080.67625	1977.83780	1067.89633	0.429	35.339	26.277	23.495
19.545	0.290	FIXA	1977.61431	1067.79071	1973.86788	1051.99032	0.541	14.096	3.755	4.165
19.835	0.018	ISAC	1974.12077	1050.89479	1976.81747	1037.27475	0.463	42.436	29.309	28.605
19.852	0.015	IHPS	1976.68055	1037.23323	1979.49179	1028.83598	0.295	38.981	21.169	20.032
19.867	0.143	FIXA	1979.37792	1029.12631	1985.89261	1012.27727	0.602	34.506	4.811	6.415
20.010	0.018	ISAC	1986.18939	1011.88416	1985.49869	1006.65910	0.176	47.495	8.344	19.516
20.027	0.048	FIXA	1985.55908	1005.57497	1983.60371	991.02839	0.489	72.149	21.479	21.789
20.075	0.015	ISAC	1983.64317	990.64667	1983.51581	999.85947	0.307	60.139	31.866	31.630
20.090	0.030	IHPS	1983.55662	1000.52009	1983.69642	1009.06510	0.285	71.769	42.029	38.032
20.127	0.033	ISAC	1984.30975	1008.85946	1985.75891	988.21128	0.690	64.119	18.703	26.126
20.160	0.035	IHPS	1985.84124	987.98368	1984.39815	997.42326	0.318	76.079	31.897	32.040
