onset	duration	label	start_x	start_y	end_x	end_y	amp	peak_vel	med_vel	avg_vel
0.015	0.363	FIXA	2012.31971	1381.98938	2010.06308	1390.38964	0.287	18.427	2.429	2.522
0.378	0.028	SACC	2010.10344	1392.14727	2008.17383	1487.70936	3.186	299.774	129.427	142.486
0.405	0.035	LPSO	2008.11829	1487.51024	2005.53973	1493.40288	0.214	33.882	16.028	16.207
0.440	0.073	FIXA	2006.32696	1494.53725	2002.37276	1496.34471	0.145	28.252	6.643	8.346
0.513	0.020	SACC	2004.36630	1496.53774	2000.46284	1492.85183	0.179	49.133	24.532	25.685
0.533	0.035	LPSO	2000.37990	1492.70984	2003.12847	1491.63979	0.098	30.115	20.609	18.533
0.568	0.108	FIXA	2002.03143	1491.66491	2008.20563	1501.58220	0.389	36.423	13.021	14.611
0.675	0.020	SACC	2007.32992	1498.70857	2002.01370	1477.09782	0.742	69.861	48.643	47.072
0.695	0.073	FIXA	2001.88462	1476.27221	2000.97888	1465.64207	0.356	24.771	10.900	11.517
0.768	0.018	ISAC	2000.70403	1465.21766	2002.49983	1461.63132	0.134	32.442	15.562	16.189
0.785	0.028	ILPS	2002.61507	1462.11777	2003.06589	1462.68183	0.024	22.025	14.004	12.890
0.813	0.983	FIXA	2003.17012	1462.60341	2012.38695	1478.78043	0.621	24.295	5.571	7.086
1.796	0.023	ISAC	2011.84010	1479.40067	2004.03866	1470.18782	0.402	36.686	18.240	20.934
1.818	0.103	FIXA	2004.05201	1469.76678	2002.24194	1460.12616	0.327	6.973	3.197	3.591
1.921	0.368	PURS	2002.18526	1459.66143	2004.61995	1447.41410	0.416	8.391	1.772	2.375
2.288	0.383	FIXA	2004.65657	1447.31846	2009.55367	1442.87660	0.220	5.325	1.646	1.924
2.671	0.013	ISAC	2010.01949	1443.21832	2007.18743	1442.14158	0.101	16.786	8.581	9.959
2.683	0.010	IHPS	2007.18001	1441.86711	2009.71996	1442.65713	0.089	18.085	8.797	9.834
2.728	0.013	ISAC	2009.04612	1440.62902	2006.23660	1438.72654	0.113	18.099	8.955	10.346
2.741	0.013	IHPS	2006.40007	1438.90279	2007.79075	1440.88065	0.081	18.296	6.280	8.796
2.753	0.143	FIXA	2007.81053	1440.99749	2010.27967	1442.95710	0.105	4.623	1.680	1.843
2.896	0.013	ISAC	2010.72901	1443.38834	2007.52589	1441.26584	0.128	21.398	10.789	12.155
2.909	0.748	FIXA	2007.61799	1440.81754	2003.47713	1442.19341	0.145	24.632	1.732	2.081
3.656	0.173	PURS	2003.43775	1442.19224	2005.49992	1433.96214	0.283	9.442	2.316	2.832
3.829	0.110	FIXA	2005.55001	1433.78902	2006.15296	1427.76597	0.202	4.824	2.761	2.585
3.939	0.160	PURS	2006.26466	1427.68960	2003.04232	1418.29112	0.331	9.676	2.678	3.004
4.099	0.025	ISAC	2003.17206	1417.31162	2013.13884	1405.05299	0.527	32.483	23.056	22.966
4.124	0.035	ILPS	2013.26303	1404.31170	2016.36290	1393.19034	0.385	18.463	10.614	11.890
4.159	0.045	FIXA	2016.46320	1392.33662	2020.53926	1387.00613	0.224	11.457	5.825	5.940
4.204	0.018	ISAC	2019.66319	1386.79663	2006.61024	1390.28144	0.450	38.657	31.620	27.680
4.222	0.103	FIXA	2006.12994	1390.50959	2000.66206	1382.59098	0.321	40.430	11.394	13.030
4.324	0.013	SACC	1999.89593	1381.09549	1996.10624	1372.00651	0.328	46.555	30.734	30.878
4.337	0.050	FIXA	1996.57434	1372.05824	1996.19477	1369.98508	0.070	6.601	1.640	2.333
4.387	0.015	SACC	1995.60989	1368.97049	2002.33275	1381.41746	0.472	59.284	36.834	34.030
4.402	0.030	HPSO	2002.75994	1382.30362	2001.39086	1384.99170	0.101	58.350	28.786	28.422
4.432	0.048	FIXA	2000.92652	1384.35681	1999.38428	1381.40721	0.111	36.603	13.157	14.386
4.479	0.015	SACC	2000.05810	1382.80375	1998.80565	1379.78475	0.109	44.656	23.549	25.331
4.494	0.080	FIXA	1998.83411	1379.39402	2002.71189	1389.57983	0.363	39.715	7.280	11.061
4.574	0.010	ISAC	2002.71813	1389.15922	2001.95043	1386.46079	0.094	16.044	10.725	10.775
4.584	0.120	FIXA	2001.73317	1386.50747	2002.66648	1388.18327	0.064	19.828	5.265	6.167
4.704	0.015	ISAC	2002.47015	1388.63781	2002.56829	1386.86454	0.059	23.012	9.207	11.320
4.719	0.943	FIXA	2002.54316	1386.90854	2000.73558	1399.44135	0.422	14.507	1.312	1.634
5.662	0.378	PURS	2000.74844	1399.60230	2010.14772	1414.43785	0.585	12.062	2.671	3.101
6.040	0.103	FIXA	2010.09787	1414.87454	2009.35545	1418.70622	0.130	6.636	1.550	2.073
6.142	0.165	PURS	2009.32272	1418.84589	2010.73605	1426.98343	0.275	6.742	2.061	2.227
6.307	0.278	FIXA	2010.75991	1427.15734	2006.69055	1426.18434	0.139	9.636	2.084	2.398
6.585	0.158	PURS	2006.72738	1426.34773	2002.04734	1417.91790	0.321	9.145	2.448	3.213
6.742	0.288	FIXA	2002.14606	1417.89880	2000.65470	1424.28500	0.219	4.679	1.425	1.571
7.030	0.195	PURS	2000.65944	1424.19356	1999.91962	1437.65067	0.449	5.992	3.085	2.873
7.225	0.013	ISAC	1999.50649	1437.58759	1996.50456	1434.98566	0.132	17.367	14.885	13.211
7.238	0.035	IHPS	1996.72811	1434.54670	1999.11531	1436.41914	0.101	22.261	8.285	9.701
7.273	0.075	FIXA	1999.03563	1436.72490	2000.86586	1437.65269	0.068	30.246	4.397	7.535
7.348	0.020	ISAC	2001.23354	1438.11745	2001.02801	1439.49720	0.046	28.727	11.114	13.948
7.368	0.115	FIXA	2000.65029	1439.43781	2001.78601	1448.20226	0.295	21.734	2.355	3.755
7.483	0.013	ISAC	2002.33079	1448.52741	1999.37245	1445.72850	0.136	20.514	10.819	12.600
7.495	0.015	IHPS	1999.22847	1445.45329	2001.86439	1447.16102	0.105	21.209	5.836	9.007
7.510	0.098	FIXA	2001.93745	1447.10241	2004.27358	1445.62843	0.092	2.577	1.311	1.418
7.608	0.015	ISAC	2004.66968	1446.12000	2001.35859	1443.75327	0.136	18.148	10.054	10.548
7.623	0.023	IHPS	2001.48946	1443.75338	2003.70007	1444.45534	0.077	18.671	2.039	5.030
7.645	0.108	FIXA	2003.75457	1444.46319	2004.05487	1448.11823	0.122	4.539	1.448	1.735
7.753	0.013	ISAC	2004.52134	1448.40763	2001.29880	1445.98489	0.134	20.763	11.810	12.303
7.765	0.013	IHPS	2001.21271	1445.57570	2004.31988	1447.11681	0.116	22.237	9.177	10.998
7.778	0.550	FIXA	2004.02821	1447.49392	1995.80440	1456.23412	0.400	7.911	1.704	1.991
8.328	0.060	SACC	1995.48279	1455.99997	2112.73343	1404.26862	4.272	181.480	61.627	75.053
8.388	0.185	FIXA	2112.76430	1403.85229	2121.47974	1402.15879	0.296	11.548	2.641	3.234
8.573	0.028	SACC	2122.10862	1402.50991	2037.96423	1451.56109	3.247	311.321	104.075	144.762
8.601	0.030	LPSO	2038.48171	1451.72873	2032.64267	1460.83254	0.361	23.869	12.350	12.906
8.631	0.140	FIXA	2032.34589	1461.00502	2021.96057	1464.75304	0.368	34.395	5.994	8.580
8.771	0.105	PURS	2022.76691	1464.57965	2025.97550	1471.43371	0.252	16.590	3.494	4.497
8.876	0.065	FIXA	2026.02742	1471.51995	2020.59962	1475.37206	0.222	16.333	3.520	6.151
8.941	0.130	PURS	2019.57600	1474.29269	2019.90381	1468.03515	0.209	25.279	13.162	13.177
9.071	0.163	FIXA	2019.83801	1467.86441	2016.34869	1476.16000	0.300	39.849	15.002	15.463
9.233	0.013	SACC	2018.25056	1476.92669	2014.87815	1468.47683	0.303	59.610	27.331	32.871
