onset	duration	label	start_x	start_y	end_x	end_y	amp	peak_vel	med_vel	avg_vel
0.015	0.070	FIXA	1986.40582	1362.44672	1993.03234	1368.27438	0.411	198.926	61.033	66.068
0.085	0.028	SACC	1996.34781	1341.26130	1990.92227	1380.10124	1.307	462.343	339.427	321.815
0.113	0.153	PURS	1987.45958	1375.21181	1905.68874	1279.72617	4.190	439.666	99.290	123.668
0.265	0.023	SACC	1891.23224	1290.62421	1963.00939	1280.26494	2.417	507.718	266.255	292.049
0.288	0.053	FIXA	1961.66038	1274.71055	1940.40462	1280.58250	0.735	498.839	167.262	189.913
0.340	0.018	SACC	1930.93761	1291.98730	1969.02574	1461.44764	5.790	534.294	386.798	375.438
0.358	0.093	FIXA	1968.11833	1465.20321	1922.57466	1411.79191	2.340	270.605	138.461	128.102
0.450	0.013	SACC	1929.08540	1397.75260	1959.93933	1323.97066	2.666	297.623	265.681	257.017
0.463	0.083	FIXA	1961.73851	1323.60815	1932.66735	1418.00431	3.292	322.310	132.950	139.365
0.545	0.028	SACC	1939.24011	1405.37891	1915.35983	1431.69133	1.184	450.934	245.473	256.102
0.573	0.038	FIXA	1917.64697	1429.95805	1966.23342	1378.74144	2.353	295.296	38.230	106.678
0.611	0.993	PURS	1964.93302	1384.41886	1803.43194	1413.90347	5.472	730.603	58.957	83.212
1.604	0.030	SACC	1770.92128	1417.44308	1552.28314	1508.93282	7.900	596.040	345.078	364.152
1.634	0.073	FIXA	1546.95562	1519.25114	1511.79678	1522.22264	1.176	375.770	145.334	165.365
1.706	0.035	SACC	1514.32906	1561.49868	1584.28760	1599.71472	2.657	911.712	423.003	435.698
1.741	0.103	PURS	1582.05445	1602.37626	1508.05257	1593.88245	2.483	609.945	222.273	245.125
1.844	0.038	SACC	1509.37549	1606.62593	1507.37552	1561.89123	1.493	692.733	324.871	369.396
1.882	0.070	FIXA	1506.14721	1569.28695	1494.26484	1603.64624	1.212	434.939	234.440	234.529
1.952	0.045	SACC	1511.64067	1590.37402	1910.13716	1389.05708	14.882	653.722	501.070	473.384
1.997	0.238	PURS	1907.43804	1384.00461	1941.10082	1311.47085	2.665	360.171	82.391	99.512
2.234	0.015	SACC	1942.22610	1325.15800	1957.27110	1407.20700	2.781	251.469	231.347	215.756
2.249	0.198	FIXA	1955.86715	1400.85554	1944.41993	1313.95721	2.922	222.352	37.787	55.632
