onset	duration	label	start_x	start_y	end_x	end_y	amp	peak_vel	med_vel	avg_vel
0.015	0.095	FIXA	1963.25285	1236.05593	1966.23624	1240.05099	0.203	114.231	34.169	40.226
0.110	0.043	SACC	1966.64958	1245.19160	1958.84756	1209.07472	1.232	462.852	165.453	177.828
0.153	0.428	PURS	1960.24748	1207.97764	2012.32779	1314.23310	3.944	148.307	13.834	25.291
0.580	0.043	SACC	2011.78896	1311.30455	2013.60723	1207.65376	3.456	154.160	83.240	84.409
0.623	0.035	HPSO	2013.60354	1205.92577	2006.55159	1244.92611	1.321	147.710	35.145	51.729
0.658	0.248	PURS	2003.98711	1254.20211	2015.78013	1209.92541	1.527	128.273	6.747	14.832
0.905	0.355	FIXA	2015.65750	1209.42997	2015.71593	1219.39682	0.332	44.639	9.535	11.319
1.260	0.018	ISAC	2015.46909	1218.29177	2018.56598	1178.45615	1.332	250.300	82.275	101.764
1.278	0.015	IHPS	2018.46191	1175.79833	2012.69703	1201.67987	0.884	227.495	66.439	94.093
1.293	0.165	FIXA	2012.73238	1200.19626	2010.93236	1178.68375	0.720	30.616	12.886	13.246
1.458	0.255	PURS	2011.08046	1178.46551	2012.49019	1188.59934	0.341	15.516	5.646	6.539
1.713	0.020	ISAC	2012.49485	1187.70276	2004.24095	1208.48053	0.745	86.553	55.814	52.201
1.733	0.008	ILPS	2004.13011	1208.91843	2005.18322	1203.75045	0.176	51.093	19.278	25.464
1.741	0.150	FIXA	2005.22868	1202.62560	2012.23791	1181.93801	0.728	22.146	6.728	8.486
1.891	0.013	ISAC	2014.71118	1181.63210	1999.04971	1178.07876	0.535	93.006	39.163	50.265
1.903	0.010	IHPS	1998.97096	1176.85230	2012.76762	1176.55465	0.460	91.985	47.153	50.668
1.913	0.075	FIXA	2013.99301	1177.97923	2010.58396	1188.79140	0.378	49.541	10.619	12.543
1.988	0.173	PURS	2010.56598	1188.64600	2008.55117	1202.43672	0.465	23.959	7.258	8.809
2.161	0.050	FIXA	2008.18433	1203.37183	2008.37839	1200.85771	0.084	13.644	7.091	7.452
2.211	0.113	PURS	2007.99133	1200.46499	2010.73920	1189.20001	0.387	19.824	5.471	6.737
2.323	0.063	FIXA	2008.94687	1190.14181	2006.21755	1204.61965	0.491	34.168	10.595	12.306
2.386	0.013	ISAC	2006.20281	1202.67982	2008.44162	1187.20519	0.521	66.353	49.145	46.943
2.398	0.055	FIXA	2008.52257	1186.58732	2008.77200	1176.05993	0.351	86.914	22.033	29.484
