onset	duration	label	start_x	start_y	end_x	end_y	amp	peak_vel	med_vel	avg_vel
0.015	0.373	PURS	1951.04760	1532.23990	1971.93509	1565.80994	1.281	32.953	8.869	10.027
0.388	0.020	SACC	1972.46949	1567.75736	1965.91274	1630.49626	2.103	176.798	118.408	108.681
0.408	0.255	FIXA	1965.36790	1629.93159	1964.49135	1643.03645	0.438	37.405	16.526	16.774
0.663	0.243	PURS	1964.59079	1643.24113	1970.36398	1585.75978	1.926	36.654	9.348	12.073
0.905	0.013	SACC	1971.78858	1583.06267	1974.05177	1574.53971	0.294	40.655	33.517	31.935
0.918	0.040	FIXA	1974.10994	1572.99751	1973.77622	1550.43852	0.752	43.598	22.100	22.560
0.958	0.013	SACC	1972.62129	1547.82356	1974.87866	1535.90971	0.404	49.217	39.522	41.041
0.970	0.160	PURS	1975.92179	1536.21982	1972.16389	1432.19429	3.470	41.106	24.036	22.921
1.130	0.013	SACC	1971.76401	1429.48075	1972.03741	1420.40047	0.303	41.314	36.558	31.730
1.143	0.045	FIXA	1972.43480	1420.28548	1970.66991	1399.85099	0.684	27.069	17.182	15.977
1.188	0.013	SACC	1969.79445	1397.39207	1964.02768	1383.82875	0.491	73.300	41.394	46.371
1.200	0.055	FIXA	1964.46014	1383.08092	1966.44008	1366.26126	0.565	37.963	13.018	15.179
1.255	0.008	SACC	1964.16555	1363.65156	1961.66844	1360.87400	0.125	46.140	32.315	31.975
1.263	0.058	FIXA	1961.56883	1360.59571	1965.35923	1352.49370	0.298	34.933	7.960	9.705
1.320	0.183	PURS	1965.42033	1352.05815	1967.87838	1340.05429	0.408	18.397	3.132	4.047
1.503	0.010	SACC	1967.52140	1339.09968	1963.96736	1334.51969	0.193	38.895	19.968	22.714
1.513	0.035	LPSO	1963.90989	1334.44564	1962.16867	1335.63259	0.070	33.401	8.374	12.139
1.548	0.233	FIXA	1962.35248	1336.07835	1968.66912	1343.42174	0.323	41.703	3.055	4.267
1.781	0.248	PURS	1968.90566	1343.10529	1954.91012	1326.54669	0.723	38.665	3.691	4.991
2.028	0.010	SACC	1956.14392	1327.14194	1961.79117	1329.40438	0.203	37.368	21.955	24.836
2.038	0.038	FIXA	1962.23495	1329.59630	1963.23623	1329.11152	0.037	9.607	2.084	2.892
2.076	0.175	PURS	1963.22056	1329.16955	1956.54247	1292.58519	1.240	36.153	6.305	9.949
2.251	0.028	SACC	1956.32155	1293.33300	1956.35804	1290.15110	0.106	73.909	35.605	32.648
2.278	0.095	FIXA	1955.98735	1291.21950	1955.51650	1283.03073	0.273	17.488	5.884	6.614
2.373	0.820	PURS	1955.47082	1282.51551	1966.64278	1180.78511	3.411	33.195	4.673	6.531
3.194	0.010	SACC	1966.81119	1181.91798	1967.91912	1188.39871	0.219	36.664	25.491	25.728
3.204	0.020	LPSO	1968.08405	1188.98504	1968.19218	1183.64381	0.178	26.535	8.328	10.877
3.224	0.083	FIXA	1968.14485	1183.35090	1969.58028	1178.06384	0.183	40.128	10.971	12.151
3.306	0.020	SACC	1970.28544	1178.73110	1964.55835	1167.61210	0.417	65.059	27.461	32.629
