onset	duration	label	start_x	start_y	end_x	end_y	amp	peak_vel	med_vel	avg_vel
0.015	0.405	FIXA	2076.56582	1173.02161	2075.95843	1170.86463	0.128	33.556	7.068	9.128
0.420	0.028	SACC	2075.47140	1172.27560	2072.97498	1216.42252	1.474	89.200	53.988	55.577
0.448	0.435	FIXA	2073.06104	1216.74115	2071.86538	1227.22560	0.352	23.896	3.619	5.426
0.883	0.253	PURS	2071.87478	1226.91353	2063.25117	1218.84894	0.394	17.347	4.780	5.664
1.135	0.383	FIXA	2063.00519	1219.06795	2064.07676	1219.36457	0.037	15.652	3.208	4.197
1.518	0.408	PURS	2064.13784	1220.11223	2053.69001	1200.09294	0.753	33.464	5.891	8.180
1.926	0.393	FIXA	2053.69354	1200.33682	2056.75371	1199.41317	0.107	13.183	3.197	3.815
2.318	0.038	SACC	2056.74664	1199.46991	2060.65832	1209.07096	0.346	183.278	45.279	65.200
2.356	0.175	FIXA	2060.51596	1208.88314	2070.06547	1212.12513	0.336	62.912	7.103	13.723
2.531	0.023	SACC	2070.11723	1212.35814	2083.60164	1175.77534	1.300	131.041	59.488	68.994
2.553	0.010	HPSO	2084.15301	1175.95382	2082.97765	1181.48224	0.188	74.276	10.298	25.649
2.563	0.273	FIXA	2083.08246	1181.58187	2083.06115	1184.90549	0.111	19.047	5.207	6.294
2.836	0.020	ISAC	2084.46944	1184.89298	2064.90382	1192.12176	0.695	58.450	40.920	38.395
2.856	0.048	FIXA	2063.59144	1192.64983	2054.44440	1190.52491	0.313	23.511	4.720	8.403
2.904	0.025	SACC	2054.27753	1190.43196	2061.70660	1155.71519	1.183	116.516	57.920	63.481
2.929	0.865	FIXA	2061.85312	1156.01110	2070.42295	1168.09277	0.494	24.979	3.615	5.139
3.794	0.025	SACC	2070.46345	1168.45450	2082.34196	1228.82280	2.051	198.544	99.033	107.596
3.819	0.143	FIXA	2082.32181	1228.84252	2079.17784	1238.05815	0.325	21.343	5.507	8.092
3.961	0.030	SACC	2079.22053	1238.41355	2072.38068	1171.48767	2.242	221.090	71.248	99.027
3.991	0.508	FIXA	2072.56105	1171.34010	2071.74588	1179.30690	0.267	14.280	3.892	4.322
4.499	0.178	PURS	2071.69989	1178.53713	2058.50860	1176.99764	0.443	18.980	4.079	5.949
4.677	0.028	SACC	2058.74638	1176.32767	2056.32147	1192.80533	0.555	111.418	44.699	52.440
4.704	0.013	HPSO	2055.95217	1193.69791	2056.80158	1185.27181	0.282	76.112	12.875	25.160
4.717	0.693	FIXA	2056.88732	1184.86265	2064.08017	1174.81444	0.412	22.328	3.153	3.802
5.409	0.020	ISAC	2064.23203	1174.97203	2062.84243	1163.87362	0.373	38.528	24.592	23.407
5.429	0.008	ILPS	2062.95308	1163.60850	2063.57336	1165.15163	0.055	18.541	4.153	8.841
5.437	0.263	FIXA	2063.78966	1165.35673	2067.15076	1174.03394	0.310	17.730	3.031	4.504
5.700	0.020	ISAC	2067.19435	1173.45411	2070.10281	1183.17070	0.338	41.666	22.874	23.606
5.720	0.013	IHPS	2070.11905	1182.90638	2069.09525	1178.21203	0.160	30.742	12.050	13.518
5.732	0.050	FIXA	2069.09231	1178.51179	2069.12120	1177.10413	0.047	5.757	2.398	2.579
5.782	0.038	SACC	2069.15180	1176.66661	2069.69698	1170.62714	0.202	153.251	44.438	52.360
5.820	0.570	FIXA	2069.59109	1170.61622	2089.20884	1175.63105	0.675	45.637	3.367	5.342
6.390	0.020	SACC	2090.60090	1174.65852	2092.91745	1145.92947	0.961	87.701	55.535	54.634
6.410	0.015	HPSO	2093.36814	1146.22159	2096.17106	1154.28242	0.284	55.002	15.111	20.458
6.425	0.045	FIXA	2096.43254	1154.32099	2098.47101	1154.97831	0.071	5.622	3.083	3.188
6.470	0.300	PURS	2098.49941	1154.93230	2074.77326	1141.66594	0.906	55.173	8.288	10.672
6.770	0.068	FIXA	2074.61697	1141.46642	2070.68639	1145.40431	0.185	11.038	5.470	6.018
6.837	0.035	SACC	2071.21298	1146.27849	2081.12946	1192.95068	1.590	217.649	13.408	55.457
