onset	duration	label	start_x	start_y	end_x	end_y	amp	peak_vel	med_vel	avg_vel
0.028	0.045	FIXA	2006.10935	1236.91443	1996.75161	1204.68283	1.131	226.684	17.661	38.878
0.073	0.030	SACC	1996.43725	1205.43706	1995.32617	1196.59481	0.297	33.461	20.011	19.202
0.103	0.005	LPSO	1995.14894	1195.87785	1995.00412	1196.83445	0.032	12.895	11.370	11.370
0.108	0.140	FIXA	1994.76127	1196.78866	1996.15349	1200.21663	0.123	15.399	3.605	4.754
0.248	0.033	SACC	1996.08804	1200.04757	2014.20010	1271.63384	2.461	262.759	56.590	103.509
0.280	0.018	LPSO	2013.93720	1271.14060	2012.00281	1269.43776	0.086	12.144	6.438	7.177
0.298	0.080	FIXA	2011.92388	1269.53167	2012.43336	1270.85502	0.047	14.184	2.289	2.775
0.378	0.020	ISAC	2012.51504	1270.64582	2012.77676	1271.04604	0.016	16.099	6.653	7.570
0.398	0.233	FIXA	2012.85072	1271.14312	2012.72932	1262.35387	0.293	14.189	1.794	2.386
0.630	0.025	SACC	2012.17549	1261.89875	1999.37636	1257.64003	0.450	46.226	20.132	22.539
0.655	0.030	LPSO	1999.25748	1257.63674	1999.01883	1252.44198	0.173	14.211	4.962	6.612
0.685	1.200	FIXA	1998.95254	1252.56755	2003.69635	1241.75145	0.394	7.417	1.362	1.712
1.886	0.035	SACC	2003.96373	1241.82501	1986.12990	1240.53199	0.596	69.095	15.003	25.792
1.921	0.023	LPSO	1986.35593	1240.44024	1987.46313	1239.75581	0.043	5.574	2.938	3.159
1.943	0.080	FIXA	1987.45725	1239.75706	1988.88775	1239.86635	0.048	2.708	1.183	1.274
2.023	0.045	SACC	1989.01918	1239.89115	2018.15940	1237.34490	0.975	111.957	18.566	33.929
2.068	0.173	FIXA	2018.25148	1237.35183	2016.90167	1235.55529	0.075	2.744	1.055	1.070
2.241	0.050	SACC	2016.88999	1235.61514	1996.59939	1235.42332	0.676	73.221	7.239	19.285
2.291	0.028	LPSO	1996.56009	1235.42579	1996.84344	1233.49500	0.065	9.183	3.597	3.684
