onset	duration	label	start_x	start_y	end_x	end_y	amp	peak_vel	med_vel	avg_vel
0.015	0.083	FIXA	2012.37721	1185.40926	2013.33421	1181.39868	0.138	5.502	2.666	2.535
0.098	0.120	PURS	2013.37468	1180.99766	2014.42102	1165.28229	0.525	13.681	4.420	5.313
0.218	0.013	ISAC	2014.61708	1164.78494	2018.16405	1156.22295	0.309	44.525	25.431	26.134
0.230	0.035	IHPS	2017.98745	1156.17450	2017.63252	1155.30029	0.031	34.399	12.490	15.934
0.265	0.125	FIXA	2018.21485	1153.88882	2016.71332	1151.17224	0.103	20.351	2.341	2.901
0.390	0.033	SACC	2017.01083	1151.08951	1987.94423	1236.43090	3.005	272.695	64.444	108.819
0.423	0.008	LPSO	1988.33080	1235.73955	1988.95819	1234.20583	0.055	14.864	10.557	10.923
0.430	1.018	FIXA	1989.08603	1234.15815	1991.92572	1208.02990	0.876	32.634	1.831	2.661
1.448	0.028	ISAC	1992.05058	1207.88434	1985.10876	1195.09872	0.485	42.767	20.735	20.464
1.476	0.005	ILPS	1985.44733	1194.91869	1985.29587	1194.37092	0.019	7.575	6.343	6.343
1.481	0.213	FIXA	1985.20287	1194.43154	1985.73802	1191.08266	0.113	6.748	1.939	2.337
1.693	0.025	ISAC	1985.85254	1191.51485	1984.32214	1201.67841	0.343	20.855	14.342	14.355
1.718	0.005	ILPS	1984.15961	1201.97762	1984.06677	1202.52512	0.019	7.401	5.970	5.970
1.723	2.206	FIXA	1984.01625	1202.93497	1976.57943	1204.01740	0.251	8.951	1.636	2.015
3.929	0.050	SACC	1976.79333	1203.61597	1935.57689	1347.00191	4.973	380.185	51.364	113.276
4.064	0.160	PURS	1959.89526	1251.91717	1990.45273	1196.26184	3.087	395.508	16.414	58.283
4.224	0.018	ISAC	1989.92766	1195.66946	1982.89778	1183.09100	0.480	41.307	31.921	28.982
4.242	0.268	FIXA	1983.04097	1182.84992	1977.57892	1183.33917	0.183	11.173	3.070	3.662
4.509	0.020	ISAC	1977.70972	1182.88331	1975.07651	1193.66714	0.370	50.377	23.503	25.123
4.529	0.033	ILPS	1974.90078	1193.78943	1975.74015	1193.99284	0.029	35.918	15.247	16.860
4.562	0.050	FIXA	1975.79207	1193.96233	1973.69024	1196.88818	0.120	31.274	12.024	11.714
4.612	0.008	ISAC	1973.92128	1195.82715	1975.18005	1190.52472	0.182	45.096	27.543	29.037
4.619	0.110	FIXA	1975.28534	1189.84136	1972.49629	1199.17501	0.325	47.526	10.093	13.303
4.729	0.030	ISAC	1972.53284	1200.75217	1979.48089	1212.13984	0.445	49.047	24.615	25.406
4.759	0.008	ILPS	1979.97423	1212.42067	1979.71198	1210.13485	0.077	23.770	7.566	12.935
4.767	0.043	FIXA	1979.74047	1210.02172	1976.81528	1214.90116	0.190	22.025	10.841	9.881
4.809	0.015	ISAC	1976.39228	1215.37416	1973.85690	1219.89461	0.173	27.262	13.242	15.736
4.824	0.035	ILPS	1973.71650	1219.89414	1972.26655	1222.52536	0.100	23.014	6.290	7.992
4.859	0.183	FIXA	1972.21626	1222.69035	1969.33387	1229.96130	0.261	18.244	3.211	4.567
5.042	0.015	ISAC	1969.11796	1230.60727	1970.43340	1223.42879	0.243	33.788	17.564	17.759
5.057	0.035	ILPS	1970.35722	1223.65845	1968.06309	1228.13007	0.168	16.866	6.119	6.989
5.092	0.060	FIXA	1968.29219	1226.87422	1968.24931	1225.86172	0.034	22.775	7.513	9.048
5.152	0.010	ISAC	1967.96032	1226.33626	1967.20601	1229.90864	0.122	24.783	11.999	14.047
5.162	0.035	ILPS	1967.30308	1229.63769	1967.10211	1229.36668	0.011	17.512	4.415	5.955
5.197	0.090	FIXA	1966.74107	1230.78242	1965.53024	1231.27587	0.044	19.473	1.334	2.026
5.287	0.023	ISAC	1965.15148	1231.61978	1965.65189	1232.28676	0.028	22.854	11.377	12.530
5.309	0.005	ILPS	1965.52205	1232.74883	1965.62563	1232.23181	0.018	7.028	6.713	6.713
5.314	0.280	FIXA	1965.56466	1232.24191	1964.51759	1235.58781	0.117	3.912	1.658	1.781
5.595	0.055	SACC	1964.24504	1235.50320	2127.05539	1086.63570	7.354	396.417	136.406	147.978
5.650	0.035	HPSO	2127.49351	1086.48985	2135.93771	1078.73704	0.382	26.957	14.383	16.208
5.685	0.058	FIXA	2135.86775	1078.60993	2136.58167	1085.62749	0.235	6.807	4.501	4.338
5.742	0.230	PURS	2136.41976	1086.16373	2133.22548	1101.84958	0.534	9.505	2.267	2.991
5.972	0.030	SACC	2133.28314	1100.58115	2135.35892	1112.56074	0.405	67.400	37.344	40.525
6.002	0.065	FIXA	2135.54730	1111.76106	1990.23448	1390.80896	10.487	645.895	174.040	198.468
6.340	0.460	PURS	2120.02606	231.97662	1980.23155	1240.18918	51.027	999.102	3.093	22.447
6.800	0.040	FIXA	1980.14484	1240.18587	1978.28359	1241.42471	0.075	10.768	3.265	4.158
6.840	0.238	PURS	1977.43438	1241.37155	1967.07921	1244.59679	0.362	11.341	1.846	2.150
7.078	0.348	FIXA	1967.06536	1244.45620	1964.19140	1247.67741	0.144	3.686	0.914	1.153
7.425	0.015	ISAC	1964.64178	1247.48885	1969.07257	1244.93191	0.171	16.923	13.312	12.465
7.440	0.625	FIXA	1969.46030	1244.79996	1973.86556	1237.97031	0.271	6.972	1.367	1.666
