onset	duration	label	start_x	start_y	end_x	end_y	amp	peak_vel	med_vel	avg_vel
0.015	0.020	SACC	1994.64491	1266.20267	1989.59484	1260.54529	0.506	108.380	54.801	59.997
0.035	0.005	LPSO	1989.23431	1259.11516	1988.44698	1256.78823	0.082	32.742	26.200	26.200
0.040	0.045	FIXA	1988.01206	1255.00454	1984.28949	1251.12925	0.179	27.180	7.707	9.896
0.085	0.273	PURS	1984.56895	1251.34151	1987.74048	1285.94031	1.158	22.959	7.036	8.018
0.358	0.070	SACC	1987.97009	1286.00082	1974.38990	1367.18181	2.744	337.095	105.472	132.113
0.428	0.033	LPSO	1974.63455	1365.40665	1977.80591	1355.79376	0.337	35.819	7.199	13.432
0.460	0.128	FIXA	1977.89252	1355.41844	1974.29462	1321.26622	1.145	52.432	12.354	17.060
0.588	0.015	SACC	1974.24823	1319.24673	1972.32556	1302.88038	0.549	55.208	44.267	41.118
0.603	0.105	FIXA	1972.29808	1302.95356	1974.98914	1287.53576	0.522	28.645	6.558	8.575
0.708	0.375	PURS	1975.25844	1288.13208	1973.42693	1287.77407	0.062	22.161	4.958	6.334
1.083	0.193	FIXA	1973.47614	1288.05712	1974.19275	1286.33171	0.062	7.713	2.659	2.939
1.275	0.195	PURS	1974.13518	1286.62973	1978.66411	1297.81388	0.402	10.757	3.213	3.563
1.471	0.178	FIXA	1978.62530	1298.03835	1981.25049	1296.60596	0.100	10.822	2.912	3.496
1.648	0.545	PURS	1981.32069	1296.57164	1976.92399	1258.09562	1.291	24.726	5.709	7.107
2.193	0.048	ISAC	1977.58827	1257.08612	1991.78611	1219.48947	1.340	47.854	31.834	30.498
2.241	0.045	FIXA	1991.94777	1219.79405	1984.33563	1202.82332	0.620	45.102	6.804	15.997
2.286	0.023	SACC	1985.08668	1202.66433	1953.79943	1208.07773	1.058	89.320	47.312	48.468
2.308	0.228	FIXA	1953.70318	1208.64124	1946.68271	1212.30215	0.264	28.340	5.366	7.754
2.536	0.020	ISAC	1947.43566	1211.55985	1960.97124	1206.62381	0.480	36.281	27.280	25.833
2.556	0.400	FIXA	1961.13506	1206.53456	1967.10130	1179.75088	0.915	8.824	3.234	3.464
2.956	0.065	SACC	1966.38307	1179.09849	1916.05176	1289.88148	4.056	319.423	54.195	106.382
3.084	0.063	SACC	1938.08431	1286.63791	1985.58433	1187.05476	3.091	267.951	112.130	115.988
3.146	0.015	LPSO	1985.63314	1186.39196	1985.95280	1182.22538	0.139	13.810	11.172	10.905
3.161	0.048	FIXA	1986.31500	1181.45364	1987.56557	1179.06988	0.090	11.569	2.995	4.417
3.209	0.028	ISAC	1987.80438	1178.34599	1991.12470	1166.14523	0.421	33.439	15.721	17.821
3.236	0.140	FIXA	1991.18449	1166.28003	1986.75210	1167.51986	0.153	6.355	2.169	2.417
3.376	0.013	ISAC	1987.02763	1168.29227	1983.75811	1164.37023	0.170	28.163	12.430	15.873
3.389	0.010	IHPS	1983.67286	1164.14947	1985.82768	1167.47142	0.132	28.077	12.536	14.076
3.399	0.093	FIXA	1985.99149	1167.96013	1986.83459	1170.75159	0.097	35.119	4.018	7.139
3.491	0.020	ISAC	1987.25387	1171.16989	1980.69820	1162.69285	0.357	30.376	18.415	18.879
3.511	0.120	FIXA	1980.30799	1162.99955	1978.87200	1160.90539	0.085	8.919	1.808	2.451
3.631	0.028	ISAC	1979.25746	1160.74808	1987.30596	1171.34860	0.444	41.282	14.881	19.571
3.659	0.035	IHPS	1987.93743	1171.89159	1981.44563	1162.41387	0.383	45.098	11.971	16.855
3.694	0.233	FIXA	1982.96404	1164.65449	1977.48318	1160.88998	0.222	49.937	2.422	5.427
3.926	0.028	ISAC	1977.41561	1160.55416	1982.60063	1164.42930	0.216	39.954	4.566	13.480
3.954	0.433	FIXA	1983.53455	1164.77712	1968.31506	1151.01430	0.684	43.707	3.375	4.727
4.387	0.415	PURS	1969.10657	1150.46813	1965.67256	1121.82356	0.962	23.467	3.743	4.990
4.802	0.328	FIXA	1965.38975	1122.23193	1967.03522	1111.10804	0.375	8.072	2.519	2.824
5.129	0.020	ISAC	1967.21655	1110.59666	1975.84081	1105.22660	0.339	26.533	19.536	17.990
5.149	0.200	FIXA	1976.02138	1104.94356	1982.94398	1103.62646	0.235	13.138	3.056	3.647
5.349	0.603	PURS	1982.90435	1103.25086	1975.24965	1151.31993	1.622	15.605	3.114	4.256
5.952	0.043	SACC	1975.54921	1152.10589	1956.84758	1234.14857	2.805	188.084	42.484	76.994
6.102	0.048	SACC	1939.29329	1281.40454	1994.86734	1200.04601	2.812	344.248	94.654	150.252
6.150	0.030	HPSO	1994.85721	1199.14147	1986.64960	1172.50139	0.929	59.664	34.442	36.877
6.180	0.160	FIXA	1986.30479	1171.63258	1982.33702	1154.64944	0.581	48.497	3.768	7.360
6.340	0.030	ISAC	1982.36207	1154.88198	1976.69954	1144.79169	0.386	39.774	12.676	17.873
6.370	1.608	FIXA	1976.66518	1144.67815	1975.29682	1149.13812	0.156	14.641	1.977	2.644
7.978	0.023	ISAC	1975.71142	1148.59489	1982.01222	1139.80788	0.360	26.389	16.706	17.089
8.000	0.463	FIXA	1982.29999	1139.60769	1981.95200	1134.37576	0.175	18.862	4.115	5.098
8.463	0.208	SACC	1980.93385	1134.28428	1975.04603	1171.55138	1.258	677.298	72.319	134.755
8.671	0.035	HPSO	1975.19018	1171.84075	1980.57574	1164.76874	0.296	46.139	17.374	20.648
8.706	0.038	FIXA	1980.45533	1163.67866	1974.82189	1161.89986	0.197	14.618	8.274	7.407
8.743	0.020	ISAC	1975.18679	1162.14680	1969.22669	1152.13357	0.388	32.932	20.672	20.157
8.763	0.145	FIXA	1969.18104	1152.10492	1969.42397	1155.82885	0.124	9.329	3.186	3.264
8.908	0.198	PURS	1969.27305	1156.25795	1966.66303	1165.42733	0.318	8.346	3.091	3.418
9.106	0.240	FIXA	1966.66684	1165.59359	1964.50799	1165.73807	0.072	23.167	3.670	4.776
9.346	0.205	PURS	1964.57924	1165.52194	1963.14058	1153.89414	0.391	21.419	2.523	3.845
9.551	0.240	FIXA	1963.14210	1153.98066	1959.60920	1155.75524	0.132	3.511	1.324	1.458
9.791	0.185	PURS	1959.57096	1155.80219	1971.00530	1160.36487	0.410	18.815	3.596	5.378
9.976	0.403	FIXA	1970.89860	1160.40135	1960.81391	1162.09240	0.341	10.992	2.929	3.628
