onset	duration	label	start_x	start_y	end_x	end_y	amp	peak_vel	med_vel	avg_vel
0.015	0.914	PURS	2013.19649	1334.18615	2033.72164	1388.36734	1.661	268.466	34.218	49.458
0.929	0.065	FIXA	2041.85407	1390.98133	2075.71434	1440.25023	1.993	266.472	33.621	65.871
0.994	0.015	ISAC	2065.62703	1432.38023	1980.50569	1360.86090	3.706	361.540	302.521	275.050
1.009	0.045	FIXA	1982.06981	1362.74368	1979.19633	1372.97183	0.354	243.310	59.340	84.437
1.054	0.010	ISAC	1988.81603	1380.67004	2052.56113	1426.47314	2.616	408.609	318.130	302.217
1.064	0.130	FIXA	2059.54478	1431.53340	1981.36527	1388.75159	2.971	405.042	41.664	79.229
1.225	0.175	PURS	1983.55155	1404.91354	1983.26919	1418.84872	0.170	294.320	45.677	83.626
3.263	0.326	FIXA	1953.47678	1422.29443	1975.62222	1293.12086	4.209	471.942	87.578	135.752
3.589	0.015	SACC	1953.06160	1325.89516	1923.62008	1422.68853	3.372	529.615	407.699	350.734
3.604	0.043	FIXA	1920.52155	1424.41825	1970.20924	1395.34994	1.919	171.108	65.183	79.136
3.646	0.018	ISAC	1975.30064	1391.20038	1906.96460	1439.39589	2.787	305.464	191.766	172.286
3.664	0.033	ILPS	1908.37721	1436.44966	1907.78238	1393.27415	1.439	169.090	60.596	77.648
3.709	0.063	ISAC	1912.85688	1384.65644	1895.58883	1384.28812	0.576	356.190	178.434	163.442
3.771	0.035	IHPS	1897.16984	1380.95893	1886.42792	1390.33613	0.475	416.637	156.703	188.163
3.806	0.085	FIXA	1891.85216	1375.70950	1921.54719	1362.79743	1.079	222.680	106.312	111.618
3.892	0.013	ISAC	1926.55054	1366.84552	1948.97208	1426.75591	2.132	280.850	192.227	187.712
3.904	0.095	FIXA	1949.86969	1430.24667	1948.53649	1388.08847	1.406	155.614	50.822	60.502
3.999	0.456	PURS	1948.13538	1385.83945	1987.89066	1394.53859	1.357	60.787	10.088	12.888
4.455	0.168	FIXA	1987.94188	1394.69412	1988.14156	1396.27477	0.053	41.024	7.510	9.639
4.623	0.333	PURS	1988.51040	1396.53003	1992.74658	1368.57647	0.942	103.728	7.838	12.314
4.956	0.030	ISAC	1993.38995	1372.82631	1991.75052	1315.28652	1.919	264.721	123.755	143.891
4.986	0.058	FIXA	1992.22019	1316.10216	1995.97119	1323.95551	0.290	26.600	10.876	12.203
5.044	0.018	ISAC	1996.27700	1324.37908	1985.91774	1358.40975	1.186	159.537	62.383	86.566
5.061	0.018	IHPS	1987.67947	1359.27946	2002.64651	1349.43186	0.597	152.494	38.956	52.509
5.079	0.133	FIXA	2002.46284	1348.89486	2004.29438	1362.82412	0.468	78.873	21.829	26.799
5.211	0.020	ISAC	2002.61280	1360.60742	2013.00543	1383.36642	0.834	255.242	99.252	110.081
