onset	duration	label	start_x	start_y	end_x	end_y	amp	peak_vel	med_vel	avg_vel
0.015	0.305	FIXA	1957.64170	1238.03463	1959.58865	1245.94059	0.257	7.109	1.612	1.898
0.320	0.033	SACC	1959.50585	1245.68252	1956.53643	1330.73370	2.837	240.634	99.794	95.297
0.353	0.010	HPSO	1956.86828	1330.83757	1955.86554	1325.75965	0.173	51.443	9.181	18.558
0.363	0.433	FIXA	1956.00615	1325.60095	1945.91927	1324.28494	0.339	8.575	1.804	2.307
0.795	0.023	ISAC	1945.50454	1324.79738	1935.08831	1309.45009	0.618	56.606	27.127	28.964
0.818	0.013	IHPS	1935.06492	1308.99230	1935.22960	1304.10248	0.163	18.947	17.623	14.323
0.830	0.540	FIXA	1935.31882	1304.03699	1933.05676	1303.71531	0.076	9.551	2.097	2.468
1.370	0.220	PURS	1932.76297	1302.96974	1935.94019	1287.55758	0.525	10.681	2.693	2.953
1.591	0.028	ISAC	1936.27907	1287.44430	1922.56818	1285.29630	0.463	46.666	14.542	20.897
1.618	0.005	ILPS	1922.83430	1285.12387	1923.64303	1285.01994	0.027	10.868	7.547	7.547
1.623	0.488	FIXA	1924.08691	1284.51316	1919.62648	1284.67072	0.149	9.248	1.828	2.202
2.111	0.313	PURS	1919.58048	1284.75459	2301.12983	1307.19783	12.740	398.513	2.731	45.894
2.613	0.070	FIXA	2726.06944	1347.15028	2819.06418	1283.27677	3.420	249.431	48.334	76.603
2.683	0.043	SACC	2829.97276	1275.83958	2701.76057	1240.61287	4.432	282.408	148.493	168.248
2.726	0.193	PURS	2704.59508	1238.23789	2560.81193	1141.45085	5.777	173.327	41.561	45.906
2.919	0.013	SACC	2555.41310	1141.34472	2522.02215	1150.10965	1.151	138.785	108.239	106.727
2.931	0.045	FIXA	2520.95085	1148.96726	2517.95675	1128.61236	0.686	61.814	31.848	33.379
2.976	0.020	SACC	2524.51327	1130.93658	2604.52946	1143.72136	2.701	279.878	156.663	153.310
2.996	0.070	FIXA	2603.59597	1143.94860	2608.09238	1142.83443	0.154	73.851	12.847	18.804
3.066	0.010	SACC	2612.41725	1139.03137	2617.71278	1129.32406	0.369	76.761	58.942	56.969
3.076	0.073	FIXA	2616.38628	1128.07488	2610.66620	1124.49649	0.225	149.283	17.199	30.748
3.149	0.015	SACC	2605.82701	1126.99849	2585.27596	1137.88653	0.775	142.077	71.398	73.269
3.164	0.173	FIXA	2584.99050	1137.89970	2567.21662	1151.72038	0.750	19.557	5.987	6.400
3.336	0.020	SACC	2567.78529	1154.63600	2570.71001	1111.69066	1.435	126.392	77.466	78.861
3.356	0.058	FIXA	2569.32896	1111.66862	2565.95946	1101.27338	0.364	26.423	5.686	7.357
3.414	0.305	PURS	2565.96759	1101.15403	2132.63088	1177.48240	14.667	415.697	3.082	58.503
3.894	0.073	FIXA	1638.59924	1330.22695	1600.80819	1364.44908	1.221	604.890	101.517	177.201
3.966	0.080	SACC	1607.35159	1364.66917	1802.43672	1327.96453	6.617	130.475	86.024	88.049
4.046	0.265	PURS	1805.89065	1328.85776	2032.19120	1307.54084	7.577	81.674	23.502	29.585
4.312	0.023	SACC	2032.85616	1307.28904	2018.09213	1268.44662	1.385	118.849	58.529	64.792
4.334	0.128	FIXA	2018.56143	1267.52702	2026.89476	1261.58073	0.341	17.414	3.790	4.467
4.462	0.095	PURS	2027.02681	1261.55269	2029.55573	1261.66729	0.084	7.631	3.670	3.741
4.557	0.055	FIXA	2029.52114	1261.54658	2030.09316	1260.51013	0.039	4.590	2.261	2.205
4.612	0.325	PURS	2029.90739	1260.59479	2013.24697	1271.08662	0.656	7.056	2.537	2.860
4.937	0.058	FIXA	2013.21273	1271.67286	2013.16240	1273.58335	0.064	8.000	2.081	2.833
4.994	0.240	PURS	2013.13484	1273.56770	2049.42247	1319.58928	1.954	57.374	6.129	9.542
5.349	0.040	SACC	2074.50967	1278.13068	2072.85429	1292.25484	0.624	244.887	35.621	60.415
5.389	0.020	HPSO	2072.93795	1291.31243	2073.21869	1276.76492	0.485	44.301	28.471	27.163
5.409	0.235	FIXA	2073.52499	1276.64931	2073.85730	1275.40136	0.043	12.489	3.239	4.043
5.645	0.368	PURS	2073.60594	1275.23200	2050.80740	1296.54587	1.040	8.048	2.832	3.186
6.012	0.033	ISAC	2050.49412	1296.85840	2030.74974	1299.20478	0.663	50.361	13.336	22.154
6.045	0.078	FIXA	2030.58396	1299.12396	2025.56478	1300.56577	0.174	4.085	2.807	2.886
6.122	0.368	PURS	2025.37476	1300.69718	2009.20787	1323.36625	0.928	8.895	2.564	2.912
6.490	0.328	FIXA	2009.14061	1323.36510	2009.93297	1328.48717	0.173	8.502	1.430	2.101
6.817	0.170	PURS	2009.98535	1328.63184	2011.87580	1338.55446	0.337	6.557	2.079	2.500
6.988	0.463	FIXA	2011.86703	1338.57903	2000.14545	1344.49086	0.438	47.540	1.835	3.258
7.450	0.048	SACC	2000.72228	1344.46367	2096.08389	1348.27703	3.181	215.851	45.520	76.236
7.498	0.045	FIXA	2096.01932	1348.27901	2093.10101	1345.78950	0.128	8.616	3.546	4.005
7.543	0.098	SACC	2092.45662	1345.81171	2522.26436	1409.15385	14.482	389.383	186.293	177.664
7.770	0.065	SACC	2759.04044	1484.28018	2755.14256	1465.47990	0.886	390.618	165.418	191.354
7.835	0.060	FIXA	2755.18372	1465.50485	2674.76790	1379.92131	3.915	333.449	83.755	124.203
7.895	0.065	SACC	2668.97849	1377.81598	2495.92487	1294.77805	6.398	173.449	98.529	104.259
7.960	0.113	PURS	2492.46939	1293.15623	2397.22485	1208.75991	4.242	81.746	40.524	42.138
8.073	0.078	SACC	2379.64818	1211.03172	1705.08292	1570.36927	25.477	653.965	308.267	342.019
8.150	0.263	PURS	1704.83849	1570.23847	1818.35274	1549.45736	3.847	80.655	12.261	17.457
8.413	0.028	SACC	1816.93654	1539.75811	1735.40738	1334.64846	7.357	480.080	284.330	281.425
8.441	0.160	PURS	1735.20325	1331.22610	1689.83680	1332.08041	1.512	385.497	39.978	68.823
8.706	0.083	FIXA	1364.68234	1242.59417	1620.04307	1285.37887	8.522	306.311	119.976	131.594
8.788	0.028	SACC	1626.00933	1284.45475	1701.86500	1277.51278	2.539	149.837	97.075	100.118
8.816	0.075	PURS	1705.31665	1275.89170	1833.86804	1263.29895	4.306	92.628	59.404	59.903
8.891	0.008	SACC	1838.15826	1263.53899	1846.19701	1263.11931	0.268	57.272	53.672	54.858
8.898	0.155	PURS	1849.36472	1262.80900	1943.73202	1256.72860	3.152	44.378	18.009	21.386
9.053	0.038	SACC	1944.67636	1256.58612	1884.37278	1279.56736	2.151	283.705	73.030	101.284
9.091	0.100	FIXA	1884.36766	1279.59362	1886.94929	1285.49615	0.215	9.542	3.993	4.056
9.191	0.378	PURS	1887.14442	1285.88027	1869.51393	1303.21946	0.824	7.116	2.902	3.097
9.568	0.055	FIXA	1869.42991	1303.35488	1867.75605	1303.72322	0.057	2.882	1.702	1.865
9.623	0.228	PURS	1867.69678	1303.95590	1865.51672	1317.67001	0.463	7.602	2.576	2.681
9.851	0.480	FIXA	1865.56562	1317.70628	1964.50236	1344.07141	3.413	340.726	2.090	10.692
10.521	0.080	FIXA	2542.23324	1495.28843	2322.98581	1475.68734	7.098	178.088	102.269	104.628
10.601	0.055	SACC	2318.29246	1474.08374	2230.06617	1419.56128	3.457	88.816	66.185	68.309
10.656	0.265	PURS	2228.77306	1419.40652	2150.10925	1358.16122	3.323	51.497	11.862	17.660
10.921	0.020	SACC	2146.39950	1360.22273	2070.70072	1394.42458	2.769	264.081	159.230	153.282
10.941	0.188	PURS	2069.53172	1394.79163	2153.01585	1423.43559	2.942	80.418	13.483	20.654
11.129	0.048	FIXA	2159.21648	1423.81797	1934.42482	1373.39417	7.679	465.238	222.470	209.536
11.267	0.093	FIXA	1573.23450	1273.92477	1730.44669	1304.30180	5.409	346.986	82.501	108.733
11.359	0.028	SACC	1735.05118	1305.80056	1783.56819	1307.62520	1.618	78.500	64.540	65.598
11.387	0.205	PURS	1787.22978	1306.84173	1975.08614	1302.28781	6.264	64.488	28.289	31.414
11.592	0.015	SACC	1970.09510	1302.52626	1931.28761	1306.73591	1.301	134.558	105.859	97.858
11.607	0.043	FIXA	1931.52984	1306.93528	1940.53282	1303.29665	0.324	43.754	7.072	9.170
11.649	0.593	PURS	1941.01069	1303.11397	2244.07878	1340.65867	10.179	366.030	9.259	33.386
12.354	0.068	SACC	2470.73064	1408.85304	2301.72765	1360.95295	5.855	186.529	80.360	92.934
12.422	0.233	PURS	2298.24794	1361.56204	2137.62619	1320.17016	5.529	71.559	20.817	26.104
12.655	0.018	SACC	2145.21514	1322.68213	2201.48958	1336.61461	1.932	224.193	152.788	143.943
12.672	0.065	FIXA	2200.46369	1335.55095	2195.42414	1330.18710	0.245	42.510	2.846	5.816
12.737	0.208	PURS	2195.45053	1329.99524	2253.35930	1345.09555	1.995	46.074	11.351	11.457
12.945	0.013	SACC	2258.33321	1347.75531	2275.44899	1360.62461	0.714	91.315	75.178	72.187
12.957	0.048	PURS	2277.83210	1362.07792	1980.15522	1341.22018	9.947	367.126	245.547	223.057
